,harmonised_code,harmonised_name,nuts_3_code,nuts_3_name,nuts_2_code,nuts_2_name,nuts_1_code,nuts_1_name
226,T_2005,hajnowski,PL842,Łomżyński,PL84,Podlaskie,PL8,Makroregion wschodni
227,T_2006,kolneński,PL842,Łomżyński,PL84,Podlaskie,PL8,Makroregion wschodni
228,T_2007,łomżyński,PL842,Łomżyński,PL84,Podlaskie,PL8,Makroregion wschodni
229,T_2010,siemiatycki,PL842,Łomżyński,PL84,Podlaskie,PL8,Makroregion wschodni
230,T_2013,wysokomazowiecki,PL842,Łomżyński,PL84,Podlaskie,PL8,Makroregion wschodni
231,T_2014,zambrowski,PL842,Łomżyński,PL84,Podlaskie,PL8,Makroregion wschodni
232,T_2062,Łomża,PL842,Łomżyński,PL84,Podlaskie,PL8,Makroregion wschodni
233,T_2201,bytowski,PL636,Słupski,PL63,Pomorskie,PL6,Makroregion północny
234,T_2208,lęborski,PL636,Słupski,PL63,Pomorskie,PL6,Makroregion północny
235,T_2212,słupski,PL636,Słupski,PL63,Pomorskie,PL6,Makroregion północny
236,T_2263,Słupsk,PL636,Słupski,PL63,Pomorskie,PL6,Makroregion północny
237,T_2202,chojnicki,PL637,Chojnicki,PL63,Pomorskie,PL6,Makroregion północny
238,T_2203,człuchowski,PL637,Chojnicki,PL63,Pomorskie,PL6,Makroregion północny
239,T_2206,kościerski,PL637,Chojnicki,PL63,Pomorskie,PL6,Makroregion północny
240,T_2204,gdański,PL634,Gdański,PL63,Pomorskie,PL6,Makroregion północny
241,T_2205,kartuski,PL634,Gdański,PL63,Pomorskie,PL6,Makroregion północny
242,T_2210,nowodworski,PL634,Gdański,PL63,Pomorskie,PL6,Makroregion północny
243,T_2211,pucki,PL634,Gdański,PL63,Pomorskie,PL6,Makroregion północny
244,T_2215,wejherowski,PL634,Gdański,PL63,Pomorskie,PL6,Makroregion północny
245,T_2207,kwidzyński,PL638,Starogardzki,PL63,Pomorskie,PL6,Makroregion północny
246,T_2209,malborski,PL638,Starogardzki,PL63,Pomorskie,PL6,Makroregion północny
247,T_2213,starogardzki,PL638,Starogardzki,PL63,Pomorskie,PL6,Makroregion północny
248,T_2214,tczewski,PL638,Starogardzki,PL63,Pomorskie,PL6,Makroregion północny
249,T_2216,sztumski,PL638,Starogardzki,PL63,Pomorskie,PL6,Makroregion północny
250,T_2261,Gdańsk,PL633,Trójmiejski,PL63,Pomorskie,PL6,Makroregion północny
251,T_2262,Gdynia,PL633,Trójmiejski,PL63,Pomorskie,PL6,Makroregion północny
252,T_2264,Sopot,PL633,Trójmiejski,PL63,Pomorskie,PL6,Makroregion północny
253,T_2401,będziński,PL22B,Sosnowiecki,PL22,Śląskie,PL2,Makroregion południowy
254,T_2416,zawierciański,PL22B,Sosnowiecki,PL22,Śląskie,PL2,Makroregion południowy
255,T_2465,Dąbrowa Górnicza,PL22B,Sosnowiecki,PL22,Śląskie,PL2,Makroregion południowy
256,T_2468,Jaworzno,PL22B,Sosnowiecki,PL22,Śląskie,PL2,Makroregion południowy
257,T_2475,Sosnowiec,PL22B,Sosnowiecki,PL22,Śląskie,PL2,Makroregion południowy
258,T_2402,bielski,PL225,Bielski,PL22,Śląskie,PL2,Makroregion południowy
259,T_2403,cieszyński,PL225,Bielski,PL22,Śląskie,PL2,Makroregion południowy
260,T_2417,żywiecki,PL225,Bielski,PL22,Śląskie,PL2,Makroregion południowy
261,T_2461,Bielsko-Biała,PL225,Bielski,PL22,Śląskie,PL2,Makroregion południowy
