Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;MLPD;DIE PARTEI;CM;DSU;HP;HUMANWIRTSCHAFTSPARTEI;STATT Partei;UNABHÄNGIGE;Übrige;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;50plus;MLPD;Die Partei;PSG;Pro DM
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03451;Ammerland;89190;70724;885;69839;30326;29291;0;4107;3068;2297;0;0;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;812;69912;30525;22855;0;4944;7441;2587;0;0;822;394;180;69;0;0;23;0;0;0;0;0;0;18;0;0;54
NI;03452;Aurich;148222;115417;2239;113178;64353;32302;0;7083;3478;4355;0;0;1338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;1883;113534;62172;29735;0;6789;7059;5047;0;0;1331;656;337;198;0;0;48;0;0;0;0;0;0;49;0;0;113
NI;03453;Cloppenburg;112427;85604;1341;84263;22979;53719;0;1849;3341;1709;0;0;666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1115;84489;22176;47927;0;2556;8040;2061;0;0;674;346;164;435;0;0;30;0;0;0;0;0;0;24;0;0;56
NI;03454;Emsland;229663;183973;2166;181807;52355;109806;0;5051;8792;4145;0;0;1440;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2170;181803;53974;96971;0;6997;15958;4962;0;0;1404;785;337;211;0;0;63;0;0;0;0;0;0;34;0;0;107
NI;03455;Friesland;79850;63111;1193;61918;32070;20483;0;2535;3101;2352;0;0;861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;516;1055;62056;29408;18194;0;3988;5962;2724;0;0;806;456;308;66;0;0;49;0;0;0;0;0;0;32;0;0;63
NI;03456;Grafschaft Bentheim;95156;76494;840;75654;31677;36387;0;2431;2455;2158;0;0;546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;795;75699;30168;31875;0;3810;6229;2388;0;0;540;331;146;121;0;0;22;0;0;0;0;0;0;11;0;0;58
NI;03457;Leer;125465;96975;1388;95587;46825;35248;0;4612;3166;3754;0;0;1221;0;0;761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1256;95719;48433;28810;0;4647;6489;4684;0;0;1208;538;212;577;0;0;32;0;0;0;0;0;0;18;0;0;71
NI;03458;Oldenburg;95568;77141;897;76244;34209;28878;0;4353;4926;2738;0;0;843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297;772;76369;31562;23460;0;6379;9670;3373;0;0;854;518;311;97;0;0;32;0;0;0;0;0;0;42;0;0;71
NI;03459;Osnabrück;267999;216153;2604;213549;87688;99007;0;9477;9477;5880;0;0;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303;213850;81352;86906;0;14141;20445;6845;0;0;1946;916;467;587;0;0;78;0;0;0;0;0;0;35;0;0;132
NI;03460;Vechta;93918;74703;1035;73668;19009;48058;0;1874;2836;1309;0;0;582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;863;73840;17908;42586;0;2671;8031;1541;0;0;545;267;140;72;0;0;20;0;0;0;0;0;0;11;0;0;48
