"Nr okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Ruch Patriotyczny,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,4 - Partia Demokratyczna,5 - Socjaldemokracja Polska,6 - Prawo i Sprawiedliwość,7 - Sojusz Lewicy Demokratycznej,8 - Platforma Obywatelska,9 - Polska Partia Narodowa,10 - Polskie Stronnictwo Ludowe,11 - Centrum,12 - Platforma Janusza Korwin-Mikke,13 - Ogólnopolska Koalicja Obywatelska O.K.O.,14 - Polska Konfederacja - Godność i Praca,15 - Samoobrona RP,16 - Inicjatywa RP,17 - Dom Ojczysty,18 - Narodowe Odrodzenie Polski,19 - Stronnictwo Pracy,19 - Społeczni Ratownicy,19 - Mniejszość Niemiecka,19 - Mniejszość Niemiecka Śląska
37,301000,koniński,93360,31486,31437,1619,29818,278,193,1943,342,928,5909,2167,4139,89,3057,,335,72,81,9343,,879,63,,,,
37,302300,słupecki,46290,16442,16438,775,15663,113,153,912,164,819,2556,1429,2375,44,3022,,174,32,40,3603,,198,29,,,,
37,302500,średzki,42306,15363,15350,803,14547,110,140,1028,250,509,2314,2189,3241,38,1294,,228,79,50,2992,,59,26,,,,
37,302600,śremski,45677,16740,16731,874,15857,112,122,1170,331,768,3112,2264,3294,61,1746,,251,51,50,2392,,107,26,,,,
37,302700,turecki,65354,24983,24958,1105,23853,186,179,1651,196,1507,4735,1777,3953,49,3146,,232,207,43,5874,,87,31,,,,
37,303000,wrzesiński,57844,24700,24579,942,23637,221,180,1344,705,1049,3554,2856,5556,42,1899,,1144,48,61,4859,,88,31,,,,
37,306201,m. Konin,64758,28522,28516,980,27536,292,302,1341,760,1483,7013,4534,7074,46,794,,430,56,62,3058,,275,16,,,,
38,300100,chodzieski,36690,15673,15667,1041,14626,90,124,725,200,1120,1848,1995,4256,83,1538,,199,,,2448,,,,,,,
38,300200,czarnkowsko-trzcianecki,67343,25659,25614,1609,24005,498,184,1773,407,1833,5098,2326,6808,82,1261,,316,,,3419,,,,,,,
38,300500,grodziski,37193,13125,13118,780,12338,56,106,1231,128,254,1809,2056,2509,30,1487,,185,,,2487,,,,,,,
38,301400,międzychodzki,28205,9528,9515,689,8826,98,61,530,96,1140,1339,1212,2217,31,683,,159,,,1260,,,,,,,
38,301500,nowotomyski,54940,20074,20066,1184,18882,138,230,1672,215,660,3871,2141,4547,44,2786,,228,,,2350,,,,,,,
38,301600,obornicki,43199,16240,16202,934,15268,166,137,1004,156,724,2933,2825,3403,67,1464,,221,,,2168,,,,,,,
38,301900,pilski,106224,50125,50097,2776,47321,334,337,3511,1148,3078,8570,7286,12875,138,3281,,602,,,6161,,,,,,,
38,302400,szamotulski,68223,25054,24988,1494,23494,167,162,1405,257,1883,3929,4257,4744,62,3373,,448,,,2807,,,,,,,
38,302800,wągrowiecki,52005,20821,20777,1192,19585,213,117,1064,178,785,2949,3780,4238,62,2203,,194,,,3802,,,,,,,
38,302900,wolsztyński,41722,16028,16022,948,15074,81,115,1225,164,225,2088,4494,3205,21,1383,,173,,,1900,,,,,,,
38,303100,złotowski,53472,20589,20561,1187,19374,153,143,2131,345,1083,2602,2250,5261,61,1652,,223,,,3470,,,,,,,
39,302100,poznański,216859,91673,91563,3395,88168,415,539,5149,2306,4509,20915,6972,33382,157,4285,386,1580,281,,7292,,,,,,,
39,306401,m. Poznań,448296,222482,221868,4836,217032,1191,1430,11330,9071,12010,57070,25001,82509,382,1984,287,4113,520,,10134,,,,,,,
40,320100,białogardzki,37945,11938,11926,545,11381,72,67,562,154,431,3517,1156,1887,29,557,,132,,,2817,,,,,,,
40,320200,choszczeński,40301,12086,12059,562,11497,54,95,571,207,314,1917,1847,1975,29,1849,,105,,,2534,,,,,,,
40,320300,drawski,47492,15245,15240,695,14545,99,167,852,565,563,2389,2010,2742,26,785,,166,,,4181,,,,,,,
40,320800,kołobrzeski,61220,22972,22951,825,22126,128,182,815,545,829,6107,3214,6127,97,752,,265,,,3065,,,,,,,
40,320900,koszaliński,49255,15921,15890,808,15082,128,140,704,510,1147,2662,1380,2874,42,918,,186,,,4391,,,,,,,
40,321300,sławieński,45281,15186,15172,633,14539,100,95,594,207,449,2380,1514,2155,32,838,,167,,,6008,,,,,,,
40,321500,szczecinecki,61916,22298,22287,848,21439,143,163,952,1552,778,5085,2236,5123,53,830,,230,,,4294,,,,,,,
40,321600,świdwiński,39542,13234,13162,566,12596,96,104,655,258,598,1936,2078,1914,69,1441,,121,,,3326,,,,,,,
40,321700,wałecki,43324,15378,15364,718,14646,82,124,596,941,879,2273,2734,3622,25,526,,180,,,2664,,,,,,,
40,326101,m. Koszalin,88054,38681,38634,1034,37600,196,280,1782,1625,2285,7403,6174,9755,89,721,,604,,,6686,,,,,,,
41,320400,goleniowski,62588,21076,21060,848,20212,,170,1087,523,920,3218,2936,5598,71,2229,,400,,,3005,,55,,,,,
41,320500,gryficki,48765,16130,16120,699,15421,,151,806,304,656,3163,2454,3151,86,869,,195,,,3550,,36,,,,,
41,320600,gryfiński,65059,21088,21037,916,20121,,200,1645,353,728,5593,2517,3757,78,1255,,720,,,3128,,147,,,,,
41,320700,kamieński,39084,13154,13136,480,12656,,188,787,208,453,2468,2147,3488,51,797,,264,,,1773,,32,,,,,
41,321000,myśliborski,53503,16866,16849,599,16250,,199,1422,894,562,3190,2410,3398,53,791,,225,,,3060,,46,,,,,
41,321100,policki,47664,17619,17604,503,17101,,158,821,749,862,4128,1995,6231,93,307,,376,,,1345,,36,,,,,
41,321200,pyrzycki,32028,10706,10688,458,10230,,107,702,198,489,1760,1232,2216,33,989,,149,,,2314,,41,,,,,
41,321400,stargardzki,94132,33125,33056,1455,31601,,375,1885,985,1935,7668,4340,7096,95,1411,,518,,,5201,,92,,,,,
41,321800,łobeski,30493,9048,8988,388,8600,,79,556,250,452,1610,1395,1743,31,557,,100,,,1800,,27,,,,,
41,326201,m. Szczecin,324156,145882,145528,2834,142694,,1454,8263,4566,9192,35756,21743,46178,459,2123,,2911,,,9471,,578,,,,,
41,326301,m. Świnoujście,34040,13377,13368,296,13072,,167,857,284,706,3028,2531,4031,29,489,,244,,,669,,37,,,,,
41,329901,Statki,49,49,49,1,48,,1,3,0,1,7,7,13,1,2,,8,,,5,,0,,,,,
