Okręg,TERYT,Powiat,Liczba obwodów,Liczba uprawnionych do głosowania,Liczba wysłanych pakietów,Liczba kart wydanych,Liczba osób głosujących przez pełnomocnika,Liczba oddanych kart,Karty wyjęte z kopert zwrotnych,Karty nieważne,Karty ważne,Głosy nieważne,Głosy ważne,Liczba zaświadczeń,Liczba kopert zwrotnych,Liczba kopert bez oświadczenia,Liczba kopert z niepodpisanym oświadczeniem,Liczba kopert zwrotnych bez koperty na kartę do głosowania,Liczba niezaklejonych kopert na karty do głosowania,Liczba kopert zwrotnych wrzuconych do urn,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polska Jest Najważniejsza,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Prawica,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Ruch Palikota,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Wyborców Mniejszość Niemiecka
33,260800,pińczowski,34,34920,0,14060,16,14056,0,10,14046,838,13208,113,0,0,0,0,0,0,49,152,2979,138,75,3893,76,3297,1406,1143,
33,260900,sandomierski,59,66576,1,27190,51,27190,1,0,27190,1691,25499,273,1,0,0,0,0,1,89,286,5827,343,137,5852,62,8385,2016,2502,
33,261000,skarżyski,58,66186,0,30628,29,30621,0,2,30619,1690,28929,171,0,0,0,0,0,0,46,458,9695,453,157,2399,61,9439,3067,3154,
33,261100,starachowicki,67,77473,1,33069,46,33059,1,2,33057,1910,31147,178,1,0,0,0,0,1,70,481,8493,510,251,4203,91,10843,3294,2911,
33,261200,staszowski,60,60442,1,24780,26,24775,1,0,24775,1491,23284,200,1,0,0,0,0,1,93,410,4096,432,102,5931,35,8851,1439,1895,
33,261300,włoszczowski,43,38147,0,15992,15,15988,0,2,15986,943,15043,144,0,0,0,0,0,0,77,245,2205,199,73,4013,52,5653,1192,1334,
33,266101,Kielce,91,164434,6,92753,71,92677,5,188,92489,2405,90084,728,6,1,0,0,0,5,107,2175,32594,1633,538,8363,312,25344,8687,10331,
34,280100,bartoszycki,39,50841,0,19997,18,19992,0,82,19910,1506,18404,250,0,0,0,0,0,0,45,,7827,176,92,2517,,4199,2378,1170,
34,280200,braniewski,35,35123,0,14074,23,14067,0,0,14067,1116,12951,102,0,0,0,0,0,0,55,,4826,181,79,2384,,2460,1785,1181,
34,280300,działdowski,52,52579,0,19752,9,19747,0,0,19747,1613,18134,140,0,0,0,0,0,0,98,,6527,307,107,2985,,5061,1703,1346,
34,280400,elbląski,42,45622,2,16092,7,16093,2,0,16093,1272,14821,100,2,0,0,0,0,2,91,,6496,259,92,1351,,3499,1742,1291,
34,280700,iławski,62,73263,3,30197,25,30193,3,4,30189,2368,27821,221,3,1,0,0,0,2,182,,11903,475,372,2797,,6559,2834,2699,
34,280900,lidzbarski,32,34565,0,13762,12,13761,0,51,13710,901,12809,112,0,0,0,0,0,0,50,,5927,214,65,1707,,2678,1373,795,
34,281200,nowomiejski,32,34387,2,13872,4,13869,2,53,13816,1161,12655,74,2,0,0,0,0,2,240,,3727,307,86,3239,,3166,1064,826,
34,281500,ostródzki,78,84207,3,33876,24,33871,3,114,33757,2345,31412,363,3,0,0,0,0,3,104,,13238,561,181,4974,,6502,3650,2202,
34,286101,Elbląg,62,98311,4,48703,39,48686,3,109,48577,1924,46653,359,4,1,0,0,0,3,98,,22433,950,266,1916,,11279,6130,3581,
35,280500,ełcki,53,68085,0,26741,15,26735,0,72,26663,1726,24937,213,0,0,0,0,0,0,,,10074,497,175,1769,139,7030,3158,2095,
35,280600,giżycki,42,46299,1,19694,25,19692,0,2,19690,1156,18534,182,1,1,0,0,0,0,,,8417,296,98,2308,97,3656,2148,1514,
35,280800,kętrzyński,51,54334,1,20308,16,20310,1,0,20310,1546,18764,121,1,0,0,0,0,1,,,8098,517,328,1921,115,3869,2089,1827,
35,281000,mrągowski,34,40752,0,16877,8,16874,0,4,16870,1195,15675,205,0,0,0,0,0,0,,,6867,287,106,2342,119,3273,1675,1006,
35,281100,nidzicki,29,26949,0,9803,9,9803,0,0,9803,738,9065,118,0,0,0,0,0,0,,,2983,137,39,1226,55,2741,841,1043,
35,281300,olecki,28,27478,2,10201,14,10201,1,0,10201,585,9616,66,2,1,0,0,0,1,,,3295,185,44,1421,46,2495,1542,588,
35,281400,olsztyński,110,95139,4,39168,23,39167,4,28,39139,2741,36398,448,4,0,0,0,0,4,,,15252,821,186,4876,319,7451,3898,3595,
35,281600,piski,43,45967,1,18472,11,18471,1,0,18471,1464,17007,288,1,0,0,0,0,1,,,4711,296,120,4473,86,4641,1666,1014,
35,281700,szczycieński,57,56476,1,21795,15,21789,1,2,21787,1575,20212,414,1,0,0,0,0,1,,,7113,350,129,2935,141,5508,2176,1860,
35,281800,gołdapski,22,22184,1,8230,6,8231,1,15,8216,568,7648,118,1,0,0,0,0,1,,,2225,103,37,2729,37,1344,728,445,
35,281900,węgorzewski,20,19411,0,7058,1,7057,0,0,7057,475,6582,97,0,0,0,0,0,0,,,2787,100,74,1040,40,1242,682,617,
35,286201,Olsztyn,95,134756,9,77942,59,77911,9,103,77808,2214,75594,1324,9,0,0,0,0,9,,,36700,1687,307,3673,546,16746,8519,7416,
36,300400,gostyński,51,60767,1,24369,15,24365,1,34,24331,1770,22561,95,1,0,0,0,0,1,,342,8030,381,128,3147,,5538,2181,2814,
36,300600,jarociński,38,56756,0,25009,16,25000,0,1,24999,1791,23208,118,0,0,0,0,0,0,,292,7122,315,134,4328,,6079,2744,2194,
36,300700,kaliski,63,65235,0,26606,13,26598,0,54,26544,1681,24863,79,0,0,0,0,0,0,,364,4952,492,182,4601,,7577,2379,4316,
36,300800,kępiński,42,44451,1,20361,12,20359,1,17,20342,1463,18879,109,1,0,0,0,0,1,,271,7098,330,108,2406,,5614,1543,1509,
36,301100,kościański,51,62707,1,28284,19,28273,0,37,28236,2066,26170,228,1,1,0,0,0,0,,495,12028,401,150,2890,,5405,2448,2353,
36,301200,krotoszyński,47,61418,1,27494,20,27490,1,52,27438,1680,25758,98,1,0,0,0,0,1,,398,11228,307,140,4319,,5438,1823,2105,
36,301300,leszczyński,36,40929,2,17191,2,17185,2,5,17180,1322,15858,131,2,0,0,0,0,2,,294,6133,271,90,1809,,3559,1652,2050,
36,301700,ostrowski,99,128643,7,60268,25,60253,5,150,60103,3418,56685,211,7,2,0,0,0,5,,963,19979,1062,265,7001,,15676,5923,5816,
36,301800,ostrzeszowski,51,43480,0,18531,15,18524,0,3,18521,1234,17287,122,0,0,0,0,0,0,,222,4478,282,102,3040,,4005,1704,3454,
36,302000,pleszewski,52,49905,3,21239,16,21239,2,118,21121,1431,19690,126,3,1,0,0,0,2,,265,5562,257,107,4882,,4526,1747,2344,
36,302200,rawicki,40,48029,0,19634,7,19618,0,0,19618,1780,17838,85,0,0,0,0,0,0,,325,7240,280,96,2713,,3274,1932,1978,
36,306101,Kalisz,55,84285,2,45695,40,45679,1,23,45656,1568,44088,234,2,1,0,0,0,1,,787,18521,1041,245,1507,,10741,5645,5601,
36,306301,Leszno,34,50865,2,26939,20,26933,2,3,26930,1016,25914,177,2,0,0,0,0,2,,507,13225,417,86,635,,4682,2646,3716,
37,300300,gnieźnieński,83,114360,7,56181,44,56139,5,2,56137,3720,52417,408,7,2,0,0,0,5,,776,18081,726,193,3700,202,12693,5751,10295,
37,300900,kolski,61,72050,0,30126,25,30118,0,40,30078,2089,27989,258,0,0,0,0,0,0,,466,6033,440,122,7085,52,8840,2765,2186,
37,301000,koniński,90,99868,3,40079,37,40072,3,3,40069,3391,36678,431,3,0,0,0,0,3,,821,8415,934,206,5633,103,12659,3867,4040,
37,302300,słupecki,38,47572,2,20488,14,20484,2,2,20482,1425,19057,127,2,0,0,0,0,2,,274,4436,289,79,5007,97,4691,2073,2111,
37,302500,średzki,34,44483,2,20670,9,20664,2,2,20662,1552,19110,260,2,0,0,0,0,2,,661,6831,384,101,2280,310,3988,2576,1979,
37,302600,śremski,40,47222,3,21820,8,21810,1,46,21764,1474,20290,142,3,2,0,0,0,1,,388,7794,364,115,2490,55,4485,2505,2094,
37,302700,turecki,57,67381,0,29417,19,29411,0,49,29362,1863,27499,138,0,0,0,0,0,0,,444,6816,447,163,3657,40,9614,2543,3775,
37,303000,wrzesiński,49,60010,1,27750,7,27748,1,91,27657,1473,26184,156,1,0,0,0,0,1,,536,10113,460,110,2490,100,6208,3005,3162,
37,306201,Konin,48,63744,3,34194,23,34183,3,156,34027,1331,32696,135,3,0,0,0,0,3,,751,12338,707,153,1248,84,8617,4151,4647,
38,300100,chodzieski,34,37537,3,18239,12,18237,1,36,18201,1133,17068,91,3,2,0,0,0,1,,,7833,444,112,2180,,2674,2023,1802,
38,300200,czarnkowsko-trzcianecki,65,69131,1,30722,28,30712,1,2,30710,2097,28613,194,1,0,0,0,0,1,,,13400,539,203,2683,,6174,2917,2697,
38,300500,grodziski,28,38944,1,16488,15,16484,1,2,16482,1372,15110,104,1,0,0,0,0,1,,,6090,256,88,2381,,3249,1381,1665,
