OKW,TERYT,Powiat,Liczba obwodów,Uprawnieni do głosowania,Otrzymane karty do głosowania,Karty niewykorzystane,Karty wydane (frekwencja),Głosy oddane,Głosy ważne,Głosy nieważne,Bochniarz Henryka Teodora,Borowski Marek Stefan,Bubel Leszek Henryk,Ilasz Liwiusz Marian,Kaczyński Lech Aleksander,Kalinowski Jarosław,Korwin-Mikke Janusz Ryszard,Lepper Andrzej Zbigniew,Pyszko Jan,Słomka Adam Andrzej,Tusk Donald Franciszek,Tymiński Stanisław
24,140200,ciechanowski,56,72607,70279,37513,32766,32764,32561,203,315,3602,42,68,10479,1256,334,8216,15,15,8178,41
28,140300,garwoliński,89,82018,79322,38039,41283,41279,40989,290,367,2191,70,89,16373,1678,414,10910,33,30,8771,63
26,140400,gostyniński,38,37781,36682,20056,16626,16617,16506,111,194,1395,32,39,5059,869,140,5228,14,7,3497,32
23,140500,grodziski,46,61586,58455,25684,32771,32759,32580,179,396,2672,57,55,12035,469,565,2588,23,21,13661,38
27,140600,grójecki,74,77322,74453,38726,35727,35719,35459,260,317,2626,75,65,12962,1890,351,9422,18,18,7666,49
27,140700,kozienicki,55,50965,49383,25928,23455,23448,23288,160,201,1627,42,62,8227,725,293,7008,3,15,5054,31
23,140800,legionowski,49,74114,70549,29511,41038,41029,40768,261,535,4248,47,56,14547,875,653,2712,75,22,16559,439
27,140900,lipski,40,30593,29769,17439,12330,12329,12219,110,83,818,23,26,2579,927,118,5569,8,0,2049,19
28,141000,łosicki,35,26513,26380,13119,13261,13259,13171,88,78,711,24,30,4116,855,128,5322,7,10,1866,24
25,141100,makowski,48,37346,35905,19209,16697,16696,16552,144,120,1182,20,48,5992,1465,134,4693,6,7,2857,28
28,141200,miński,84,108641,106189,50084,56105,56087,55388,699,713,4603,147,82,21338,1455,779,7985,39,29,18141,77
24,141300,mławski,49,58064,55862,31311,24551,24548,24380,168,208,2316,21,80,7669,1254,212,6609,18,10,5935,48
23,141400,nowodworski,45,59659,56963,29348,27615,27615,27408,207,329,2891,33,57,10812,530,398,3457,16,12,8843,30
25,141500,ostrołęcki,87,64218,61936,33681,28255,28246,27994,252,146,1035,31,71,11391,2631,215,7577,22,15,4804,56
25,141600,ostrowski,68,59636,57713,30300,27413,27413,27228,185,233,1535,25,44,12138,1222,206,6821,20,11,4899,74
23,141700,otwocki,72,89270,85824,34189,51640,51626,51316,310,618,3115,79,65,22224,880,938,4094,38,24,19183,58
23,141800,piaseczyński,85,107034,104904,44517,60387,60367,59989,378,764,4645,67,74,20999,790,987,4043,19,22,27517,62
26,141900,płocki,77,81762,79253,46105,33148,33145,32856,289,292,2183,43,61,11070,1662,247,10840,26,18,6358,56
24,142000,płoński,58,70065,67454,39534,27920,27916,27728,188,204,2248,24,52,10218,1074,232,7040,11,17,6558,50
23,142100,pruszkowski,68,113732,109867,42092,67775,67736,67365,371,895,5040,103,82,25659,628,1213,3489,40,23,30103,90
25,142200,przasnyski,55,42025,40970,22650,18320,18318,18200,118,167,1350,25,53,6565,1185,137,4816,9,15,3848,30
27,142300,przysuski,36,35593,34384,16650,17734,17734,17577,157,133,879,23,30,5817,829,162,7312,11,27,2337,17
24,142400,pułtuski,50,39492,38645,20840,17805,17803,17676,127,126,1231,17,31,6707,1691,166,3793,9,6,3875,24
27,142500,radomski,104,110645,106378,55574,50804,50795,50386,409,384,2917,77,119,19926,1659,494,13615,19,32,11072,72
28,142600,siedlecki,66,61538,59443,28327,31117,31113,30891,222,205,1299,66,72,11138,1857,268,11717,30,8,4199,32
26,142700,sierpecki,34,42239,41306,23527,17778,17777,17673,104,120,1485,22,61,5661,783,146,5530,6,5,3826,28
26,142800,sochaczewski,53,65834,64182,34898,29280,29278,29073,205,324,2516,45,54,11356,752,312,5273,17,15,8373,36
28,142900,sokołowski,56,46858,46216,21655,24561,24559,24360,199,191,1381,57,55,8756,1853,231,7747,14,9,4015,51
27,143000,szydłowiecki,30,31871,30898,16663,14235,14234,14129,105,122,928,26,48,5055,429,128,4399,8,9,2949,28
23,143200,warszawski zachodni,49,74995,70715,28611,42104,42093,41851,242,498,2716,51,44,16182,481,745,3270,11,18,17804,31
28,143300,węgrowski,52,54636,53172,26925,26247,26240,25990,250,259,1540,57,64,10043,1581,208,7367,18,11,4797,45
23,143400,wołomiński,115,150743,144915,61555,83360,83340,82859,481,831,4611,125,122,39890,1251,1233,6794,38,33,27840,91
25,143500,wyszkowski,60,55119,53210,26471,26739,26739,26515,224,210,1457,40,48,11712,2640,254,4274,10,15,5835,20
27,143600,zwoleński,38,29430,29135,15484,13651,13649,13546,103,98,723,25,29,3556,778,143,6077,4,11,2093,9
24,143700,żuromiński,27,32167,31176,17852,13324,13319,13201,118,75,1204,11,22,3907,886,88,4192,4,5,2788,19
26,143800,żyrardowski,51,58973,58005,30139,27866,27863,27663,200,378,2691,37,44,10409,444,377,3566,24,22,9627,44
25,146101,m. Ostrołęka,28,42748,41420,19811,21609,21608,21487,121,286,2195,49,61,9586,536,305,1676,11,6,6738,38
26,146201,m. Płock,69,102116,100462,47331,53129,53097,52776,321,771,7103,54,95,19182,616,790,4712,35,22,19302,94
27,146301,m. Radom,108,180597,174500,77468,97031,96966,96371,595,1144,10615,153,219,40146,1012,1766,7927,54,60,33180,95
28,146401,m. Siedlce,41,59935,58387,25524,32866,32853,32660,193,522,4113,68,70,12856,680,700,3487,63,17,10034,50
23,146501,m. st. Warszawa,819,1352256,1280263,420934,859394,858693,854270,4423,13297,101630,1175,983,275968,5494,17219,24224,369,299,412903,709
23,149901,Zagranica,162,74115,80994,28019,52975,52958,52617,341,694,3392,82,29,20578,244,799,936,58,18,25699,88
29,160100,brzeski,70,73185,71818,38158,33660,33645,33439,206,357,3168,43,82,10532,430,519,5583,26,18,12628,53
29,160200,głubczycki,47,40145,39251,21701,17550,17549,17408,141,146,1223,27,40,5033,295,162,3905,14,8,6520,35
29,160300,kędzierzyńsko-kozielski,59,81070,79132,46414,32718,32709,32506,203,472,3216,43,105,7598,231,639,3433,30,22,16658,59
29,160400,kluczborski,62,55647,54507,32063,22444,22443,22308,135,253,1802,33,57,6278,373,286,4012,12,19,9144,39
29,160500,krapkowicki,49,54092,52389,34840,17549,17550,17429,121,227,1251,24,49,3322,144,282,2112,17,11,9949,41
29,160600,namysłowski,50,34521,34030,17741,16289,16288,16155,133,193,1442,21,43,4340,433,202,3717,6,18,5714,26
29,160700,nyski,115,118254,112691,59680,53021,53004,52668,336,538,4576,53,176,15494,830,756,10183,28,30,19920,84
29,160800,oleski,48,54556,51846,31905,19941,19927,19758,169,229,2007,37,67,4198,463,211,4489,18,19,7974,46
29,160900,opolski,97,106443,103848,68147,35701,35697,35418,279,472,2327,46,77,7990,341,583,4446,32,27,19002,75
29,161000,prudnicki,63,47613,46546,26894,19652,19649,19516,133,244,1505,23,47,5605,244,245,3727,21,15,7812,28
29,161100,strzelecki,64,65081,63889,41823,22066,22065,21871,194,264,1693,30,74,5293,215,263,2966,21,20,10966,66
29,166101,m. Opole,70,99879,95950,44059,51891,51878,51629,249,949,7521,57,119,12354,282,1212,2068,15,31,26956,65
31,180100,bieszczadzki,28,17636,17178,10096,7082,7078,7025,53,72,666,13,13,2493,199,81,1248,5,4,2217,14
31,180200,brzozowski,57,50194,48994,25211,23783,23780,23620,160,136,901,16,67,12787,500,215,4736,17,17,4197,31
30,180300,dębicki,101,101974,101189,48700,52489,52474,52110,364,378,2843,69,113,26920,1022,553,8726,22,21,11380,63
