Okręg,Kod pow.,Powiat,Upr.,Frekw.,Odd.,Ważne,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,6 - Prawo i Sprawiedliwość,8 - Platforma Obywatelska,10 - Polskie Stronnictwo Ludowe,15 - Samoobrona,19 - Mniejszość Niemiecka,20 - Lewica i DemokraciD,21 - Patia Kobiet,22 - Samoobrona Patriotyczna
17,140100,białobrzeski,26285,12090,12088,11764,114,137,5378,2480,2443,596,,616,,
17,140600,grójecki,77985,40167,40149,39271,371,514,14393,8240,11431,1482,,2840,,
17,140700,kozienicki,51293,24782,24772,24245,212,332,10738,7366,2996,873,,1728,,
17,140900,lipski,30405,11670,11668,11242,89,141,3609,2081,3034,719,,1569,,
17,142300,przysuski,35743,17432,17414,16837,162,280,8591,2779,3244,752,,1029,,
17,142500,radomski,112670,52766,52723,51421,524,802,25624,11756,8017,1259,,3439,,
17,143000,szydłowiecki,32105,13625,13625,13209,104,210,6403,3374,1882,274,,962,,
17,143600,zwoleński,29450,13017,13012,12587,122,193,4500,1874,4111,878,,909,,
17,146301,m. Radom,179876,105594,105498,104263,944,1644,42449,40485,5631,751,,12359,,
18,140300,garwoliński,82940,42303,42295,41242,332,653,19157,9163,6024,1269,,4644,,
18,141000,łosicki,26547,12270,12261,11951,85,185,4709,1942,3525,444,,1061,,
18,141100,makowski,37538,17291,17264,16741,143,258,6877,3223,4198,454,,1588,,
18,141200,miński,111200,61790,61749,60573,506,961,22478,23410,7994,795,,4429,,
18,141500,ostrołęcki,65462,27759,27746,26873,221,576,12901,4757,6169,1051,,1198,,
18,141600,ostrowski,60023,27854,27851,27240,165,364,14136,4871,5104,488,,2112,,
18,142400,pułtuski,39828,19504,19497,18972,143,169,7551,3520,5959,379,,1251,,
18,142600,siedlecki,62366,29621,29561,28778,184,541,13382,4075,7609,1219,,1768,,
18,142900,sokołowski,46727,24571,24527,23873,184,544,10254,4330,6547,590,,1424,,
18,143300,węgrowski,54684,26549,26521,25802,225,720,11860,5410,4571,982,,2034,,
18,143500,wyszkowski,56127,28043,28040,27408,190,392,11834,6538,6373,435,,1646,,
18,146101,m. Ostrołęka,43036,23780,23745,23332,190,388,10137,7963,2023,279,,2352,,
18,146401,m. Siedlce,60364,35903,35876,35357,276,804,12785,12199,3709,301,,5283,,
19,146501,m. st. Warszawa,1376401,1010853,1008498,999229,4968,12387,273327,534267,24926,4252,,132772,12330,
19,149901,Zagranica,190637,149183,148946,146754,550,1877,43650,84675,1752,288,,12300,1662,
20,140500,grodziski,63553,38068,38055,37632,327,529,12236,17720,3338,304,,3178,,
20,140800,legionowski,76863,48623,48584,47959,368,502,14763,24081,2851,342,,5052,,
20,141400,nowodworski,60781,31223,31182,30502,317,347,10405,11513,3834,449,,3637,,
20,141700,otwocki,91537,57640,57594,56640,449,890,21988,22353,6991,419,,3550,,
20,141800,piaseczyński,112949,72249,72189,71177,444,928,21053,35114,7732,451,,5455,,
20,142100,pruszkowski,116212,77747,77637,76777,568,995,25925,38869,3835,447,,6138,,
20,143200,warszawski zachodni,77885,48804,48747,47885,437,750,16837,22928,3074,424,,3435,,
20,143400,wołomiński,156848,93444,93360,92010,834,1531,40913,35456,6369,820,,6087,,
21,160100,brzeski,73453,35886,35878,35112,385,525,11044,14963,3428,868,135,3764,,
21,160200,głubczycki,39977,17182,17175,16662,202,218,4883,7801,1476,398,221,1463,,
21,160300,kędzierzyńsko-kozielski,80694,37421,37413,36564,313,462,7155,18090,1246,435,3730,5133,,
21,160400,kluczborski,55779,23941,23928,23302,184,255,6213,10059,2589,387,1279,2336,,
21,160500,krapkowicki,54106,20860,20853,20154,186,239,2727,10276,513,157,4559,1497,,
21,160600,namysłowski,34680,16682,16680,16136,179,198,4474,5686,2758,294,182,2365,,
21,160700,nyski,118070,54644,54594,53195,632,925,16674,22058,4346,1835,510,6215,,
21,160800,oleski,54660,21793,21786,21208,254,200,4356,8590,1966,425,3109,2308,,
21,160900,opolski,107428,42740,42727,41411,303,488,6244,19532,1963,481,9197,3203,,
21,161000,prudnicki,47486,20410,20392,19787,184,217,5325,8203,1189,536,2312,1821,,
21,161100,strzelecki,65531,25604,25602,24676,196,271,4237,11132,804,272,5620,2144,,
21,166101,m. Opole,99039,61168,61098,60333,323,724,10963,35293,2114,307,1608,9001,,
22,180100,bieszczadzki,17779,7573,7551,7391,71,89,2413,2913,733,168,,1004,,
