TERYT,Powiat,Obwody,Uprawnieni,Karty wydane,Głosy oddane,Głosy nieważne,Głosy ważne,Dariusz Maciej GRABOWSKI,Piotr IKONOWICZ,Jarosław KALINOWSKI,Janusz KORWIN-MIKKE,Marian KRZAKLEWSKI,Aleksander KWAŚNIEWSKI,Andrzej LEPPER,Jan ŁOPUSZAŃSKI,Andrzej Marian OLECHOWSKI,Bogdan PAWŁOWSKI,Lech WAŁĘSA,Tadeusz Adam WILECKI
1203,chrzanowski,79,100143,67321,67292,679,66613,401,153,1148,863,8205,43127,1273,362,10373,41,574,93
1204,dąbrowski,42,42696,23146,23133,419,22714,60,28,4483,180,4348,8700,1433,121,3122,14,198,27
1205,gorlicki,88,79221,47359,47350,766,46584,251,83,3942,537,9686,20948,1946,452,7948,67,628,96
1206,krakowski,162,174874,101885,101853,1611,100242,417,154,7363,1595,19376,42459,3650,840,22960,74,1194,160
1207,limanowski,88,82912,48925,48905,948,47957,234,70,3869,413,16499,14553,1722,478,9187,56,800,76
1208,miechowski,58,40948,23595,23584,329,23255,64,39,3704,203,1548,13617,1773,94,2063,14,109,27
1209,myślenicki,73,79702,47603,47593,752,46841,228,73,2825,666,13739,14404,1388,478,11951,39,971,79
1210,nowosądecki,151,134607,82202,82178,1398,80780,376,127,6191,676,26211,26133,2673,689,15775,98,1653,178
1211,nowotarski,137,127106,72515,72477,1457,71020,273,87,2572,822,24867,18963,2018,772,18955,65,1533,93
1212,olkuski,83,94992,62609,62600,630,61970,314,163,3029,813,7011,39869,1733,369,8099,61,418,91
1213,oświęcimski,94,116225,78340,78308,843,77465,486,186,2381,1039,11986,43585,1469,518,14839,59,793,124
1214,proszowicki,36,33677,17947,17931,279,17652,26,37,4597,121,1442,8466,1129,88,1621,15,96,14
1215,suski,55,59841,35900,35890,731,35159,180,55,1908,345,10918,11719,1155,225,7866,34,684,70
1216,tarnowski,124,128662,74558,74500,1404,73096,273,105,8107,814,18806,25039,3359,820,14519,62,1047,145
1217,tatrzański,48,50148,29359,29323,453,28870,72,25,571,339,10293,6506,488,278,9492,14,743,49
1218,wadowicki,100,113990,72149,72123,992,71131,408,109,3310,681,14802,33033,1825,553,15372,51,882,105
1219,wielicki,68,73327,43148,43126,646,42480,153,71,1927,792,9106,16822,958,473,11523,43,551,61
1261,Kraków,418,572723,379768,379543,3513,376030,1742,817,5007,10753,76961,147735,3092,3799,120227,308,5053,536
1262,Nowy Sącz,41,62104,40984,40932,356,40576,251,62,757,754,9617,17302,480,413,10120,50,708,62
1263,Tarnów,68,92699,58828,58786,574,58212,238,88,950,1343,11273,26557,646,712,15631,38,673,63
1401,białobrzeski,21,24920,12881,12878,203,12675,43,20,3435,147,1651,4849,814,96,1467,15,121,17
1402,ciechanowski,53,69713,40819,40793,413,40380,172,93,3947,381,3992,24969,1175,208,5076,30,282,55
1403,garwoliński,85,78258,44649,44641,632,44009,177,74,9716,411,6854,17111,2558,438,6094,71,426,79
1404,gostyniński,37,36806,20471,20455,243,20212,107,37,3450,154,2054,11324,1016,75,1800,34,128,33
1405,grodziski,41,55977,32437,32431,322,32109,161,75,1459,493,4679,15915,546,472,7827,38,389,55
1406,grójecki,83,83099,47290,47269,518,46751,244,85,10282,383,5531,21352,2815,434,5200,47,319,59
1407,kozienicki,55,49078,26722,26714,329,26385,160,53,4111,336,3025,12771,1698,277,3655,31,200,68
1408,legionowski,46,67191,41220,41208,420,40788,223,76,1552,683,6889,20245,681,546,9360,44,430,59
1409,lipski,41,30688,16459,16456,243,16213,37,38,4369,138,1112,8026,1336,113,926,20,70,28
1410,łosicki,38,26153,15913,15909,196,15713,55,29,4542,119,2048,6291,1309,147,1029,11,108,25
1411,makowski,49,36747,20752,20744,334,20410,66,31,4888,116,3006,9477,883,164,1635,17,100,27
1412,miński,86,113950,66186,66160,917,65243,332,101,4501,988,12444,29320,1914,1075,13596,100,736,136
1413,mławski,48,56159,32287,32278,343,31935,136,52,4033,227,3321,19555,1043,130,3133,32,237,36
