TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Duda Andrzej Sebastian,Komorowski Bronisław Maria
1423,przysuski,mazowieckie,37,35306,30589,10331,20258,26,297,5,5,-,-,-,-,5,20262,5,-,20262,296,19966,15201,4765
1424,pułtuski,mazowieckie,56,41143,35475,13092,22383,17,334,7,7,-,-,-,-,7,22389,7,2,22387,336,22051,14356,7695
1425,radomski,mazowieckie,114,118899,102473,36097,66376,26,426,12,10,-,-,-,-,10,66378,10,1,66377,766,65611,47527,18084
1426,siedlecki,mazowieckie,71,64865,55636,18308,37328,13,298,13,9,-,-,-,-,9,37336,9,1,37335,419,36916,28324,8592
1427,sierpecki,mazowieckie,50,42547,36556,15532,21024,29,187,5,5,-,-,-,-,5,21029,5,-,21029,208,20821,13630,7191
1428,sochaczewski,mazowieckie,65,67839,57952,20332,37620,24,354,33,33,2,-,-,-,31,37651,31,1,37650,491,37159,22469,14690
1429,sokołowski,mazowieckie,50,45698,39315,12542,26773,17,295,3,3,-,-,-,-,3,26775,3,1,26774,291,26483,18861,7622
1430,szydłowiecki,mazowieckie,29,32225,27911,11024,16887,19,151,4,4,-,-,-,-,4,16891,4,-,16891,251,16640,12188,4452
1432,warszawski zachodni,mazowieckie,69,85728,73444,17058,56386,15,1020,70,70,-,-,-,-,70,56450,70,2,56448,727,55721,27545,28176
1433,węgrowski,mazowieckie,56,54576,46782,15705,31077,21,503,16,15,-,-,-,-,15,31091,15,1,31090,363,30727,21014,9713
1434,wołomiński,mazowieckie,153,176041,149725,38487,111237,43,1498,47,44,1,-,-,-,43,111276,43,8,111268,1559,109709,66269,43440
1435,wyszkowski,mazowieckie,66,58521,50025,15846,34176,22,628,7,6,1,-,-,-,5,34181,5,1,34180,419,33761,22486,11275
1436,zwoleński,mazowieckie,37,29770,25568,9817,15751,10,167,-,-,-,-,-,-,-,15747,-,-,15747,203,15544,11644,3900
1437,żuromiński,mazowieckie,29,32276,27930,12300,15630,11,132,4,4,-,-,-,-,4,15634,4,-,15634,176,15458,9489,5969
1438,żyrardowski,mazowieckie,61,59800,51262,16859,34403,10,298,12,12,-,-,-,-,12,34413,12,-,34413,498,33915,18509,15406
1461,Ostrołęka,mazowieckie,29,41639,35180,11391,23788,13,230,12,12,-,-,-,-,12,23798,12,-,23798,331,23467,14096,9371
1462,Płock,mazowieckie,70,98157,84940,28206,56732,14,434,26,25,-,-,1,-,24,56740,24,2,56738,799,55939,29128,26811
1463,Radom,mazowieckie,114,169861,148255,47755,100500,33,754,51,49,2,-,-,-,47,100524,47,3,100521,1471,99050,54225,44825
1464,Siedlce,mazowieckie,43,61223,52457,15299,37158,19,384,14,10,1,-,-,-,9,37165,9,-,37165,575,36590,21357,15233
1465,Warszawa,mazowieckie,888,1360512,1155209,223938,931220,443,25548,1571,1418,47,1,-,2,1369,932431,1368,207,932224,15446,916778,371864,544914
1499,Zagranica,mazowieckie,229,257062,245237,112857,132380,-,6959,44248,29271,1070,8,26,21,28360,160721,28379,70,160651,2244,158407,88607,69800
