country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES212,Guipuzcoa,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,57551,583973,383977,381340
Spain,ES,3,ES212,Guipuzcoa,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,68786,583973,383977,381340
Spain,ES,3,ES212,Guipuzcoa,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,1519,583973,383977,381340
Spain,ES,3,ES213,Vizcaya,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,471,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,103,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,167,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,CN+EP,NA,NA,NA,224588,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,100600,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,27617,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,OTHER,NA,NA,NA,6898,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,122306,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,125925,981539,628054,621914
Spain,ES,3,ES213,Vizcaya,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,2154,981539,628054,621914
Spain,ES,3,ES220,Navarra,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,225,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,111,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,487,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,CN+EP,NA,NA,NA,17030,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,45146,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,16132,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,OTHER,NA,NA,NA,8469,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,125688,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,74004,462171,301383,298622
Spain,ES,3,ES220,Navarra,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,2200,462171,301383,298622
Spain,ES,3,ES230,La Rioja,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,67,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,45,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,67,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,CN+EP,NA,NA,NA,202,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,364,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,6172,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,OTHER,NA,NA,NA,3039,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,83196,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,57192,230231,156683,155366
Spain,ES,3,ES230,La Rioja,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,1343,230231,156683,155366
Spain,ES,3,ES241,Huesca,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,47,179029,120134,118941
Spain,ES,3,ES241,Huesca,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,12150,179029,120134,118941
Spain,ES,3,ES241,Huesca,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,453,179029,120134,118941
Spain,ES,3,ES241,Huesca,EP,1999,CN+EP,NA,NA,NA,35,179029,120134,118941
Spain,ES,3,ES241,Huesca,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,148,179029,120134,118941
Spain,ES,3,ES241,Huesca,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,4043,179029,120134,118941
Spain,ES,3,ES241,Huesca,EP,1999,OTHER,NA,NA,NA,1710,179029,120134,118941
Spain,ES,3,ES241,Huesca,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,47539,179029,120134,118941
Spain,ES,3,ES241,Huesca,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,43769,179029,120134,118941
