,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
7684,0,2008-11-30,house,RO315,Ialomita,2,PSD,,36481,RO315,Ialomiţa
7685,1,2008-11-30,house,RO315,Ialomita,2,PD,Partidul Democrat Liberal,22402,RO315,Ialomiţa
7686,2,2008-11-30,house,RO315,Ialomita,2,PNL,Partidul Național Liberal,16417,RO315,Ialomiţa
7687,3,2008-11-30,house,RO315,Ialomita,2,PRM,Partidul România Mare,2923,RO315,Ialomiţa
7688,4,2008-11-30,house,RO315,Ialomita,2,PNG,PNG-CD,2023,RO315,Ialomiţa
7689,5,2008-11-30,house,RO315,Ialomita,2,PHR,,836,RO315,Ialomiţa
7690,6,2008-11-30,house,RO315,Ialomita,2,U-Slovaci,,439,RO315,Ialomiţa
7691,7,2008-11-30,house,RO315,Ialomita,2,U-Croati,,373,RO315,Ialomiţa
7692,8,2008-11-30,house,RO315,Ialomita,2,U-Ucrainen,,337,RO315,Ialomiţa
7693,9,2008-11-30,house,RO315,Ialomita,2,U-Armeni,,333,RO315,Ialomiţa
7694,10,2008-11-30,house,RO315,Ialomita,2,PPPS,,308,RO315,Ialomiţa
7695,11,2008-11-30,house,RO315,Ialomita,2,FC-Evrei,,300,RO315,Ialomiţa
7696,12,2008-11-30,house,RO315,Ialomita,2,A-Albanezi,,251,RO315,Ialomiţa
7697,13,2008-11-30,house,RO315,Ialomita,2,U-Sirbi,,235,RO315,Ialomiţa
7698,14,2008-11-30,house,RO315,Ialomita,2,RO.AS.IT,,230,RO315,Ialomiţa
7699,15,2008-11-30,house,RO315,Ialomita,2,A-Macedoni,,195,RO315,Ialomiţa
7700,16,2008-11-30,house,RO315,Ialomita,2,FDGR,Forumul Democrat al Germanilor din România,191,RO315,Ialomiţa
7701,17,2008-11-30,house,RO315,Ialomita,2,UBBR,,143,RO315,Ialomiţa
7702,18,2008-11-30,house,RO315,Ialomita,2,C-Rusi,,125,RO315,Ialomiţa
7703,19,2008-11-30,house,RO315,Ialomita,2,U-Tatari,,101,RO315,Ialomiţa
7704,20,2008-11-30,house,RO315,Ialomita,2,U-Turca,,96,RO315,Ialomiţa
7705,21,2008-11-30,house,RO315,Ialomita,2,U-Eleni,,92,RO315,Ialomiţa
7706,22,2008-11-30,house,RO315,Ialomita,2,UDMR,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,86,RO315,Ialomiţa
7707,23,2008-11-30,house,RO315,Ialomita,2,U-Polonezi,,65,RO315,Ialomiţa
7708,24,2008-11-30,house,RO315,Ialomita,2,U-Ruteni,,54,RO315,Ialomiţa
7709,0,2000-11-26,president_a,RO123,Covasna,0,eligible_voters,eligible_voters,177682,RO123,Covasna
7710,1,2000-11-26,president_a,RO123,Covasna,1,issued_ballots,issued_ballots,129620,RO123,Covasna
7711,0,2000-11-26,president_a,RO123,Covasna,2,GYORGY FRUNDA,UDMR,89979,RO123,Covasna
7712,1,2000-11-26,president_a,RO123,Covasna,2,ION ILIESCU,PDSR-PUR-PSDR,12864,RO123,Covasna
7713,2,2000-11-26,president_a,RO123,Covasna,2,CORNELIU VADIM TUDOR,PRM,9136,RO123,Covasna
7714,3,2000-11-26,president_a,RO123,Covasna,2,THEODOR DUMITRU STOLOJAN,PNL,6942,RO123,Covasna
7715,4,2000-11-26,president_a,RO123,Covasna,2,CONSTANTIN MUGUREL ISARESCU,,3905,RO123,Covasna
7716,5,2000-11-26,president_a,RO123,Covasna,2,PETRE ROMAN,PD,1231,RO123,Covasna
7717,6,2000-11-26,president_a,RO123,Covasna,2,TEODOR VIOREL MELESCANU,ApR,891,RO123,Covasna
7718,7,2000-11-26,president_a,RO123,Covasna,2,GHEORGHE EDUARD MANOLE,,602,RO123,Covasna
7719,8,2000-11-26,president_a,RO123,Covasna,2,PAUL-PHILIPPE HOHENZOLLERN,,273,RO123,Covasna
7720,9,2000-11-26,president_a,RO123,Covasna,2,GRAZIELA-ELENA BIRLA,,176,RO123,Covasna
7721,10,2000-11-26,president_a,RO123,Covasna,2,NICULAE CERVENI,,165,RO123,Covasna
7722,11,2000-11-26,president_a,RO123,Covasna,2,ION SASU,PSM,153,RO123,Covasna
7723,0,2019-11-10,president_a,RO317,Teleorman,0,eligible_voters,eligible_voters,308831,RO317,Teleorman
