"DATA_ELEZIONE";"DESCCIRCEUROPEA";"DESCREGIONE";"DESCPROVINCIA";"DESCCOMUNE";"ELETTORI";"ELETTORI_M";"ELETTORI_F";"VOTANTI";"VOTANTI_M";"VOTANTI_F";"NUMSCHEDEBIANCHE";"NUMSCHEDECONTESTAT";"DESCLISTA";"NUMVOTI"
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"ALLEANZA VERDI E SINISTRA";2
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"LIBERTA'";4
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";296;157;139;227;124;103;24;0;"PACE TERRA DIGNITA'";0
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"STATI UNITI D'EUROPA";71
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"LEGA SALVINI PREMIER";318
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"MOVIMENTO 5 STELLE";246
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"FORZA ITALIA - NOI MODERATI - PPE";209
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"RASSEMBLEMENT VALDÔTAIN";8
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"LIBERTA'";28
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"PACE TERRA DIGNITA'";64
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"ALLEANZA VERDI E SINISTRA";178
