"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"UNIONE DI CENTRO";"49"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"ALLEANZA NAZIONALE";"164"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"AB.SCORP.VERDI VERDI";"5"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"COMUNISTI ITALIANI";"13"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"FORZA ITALIA";"219"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"ALTERNATIVA SOCIALE";"9"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"P.SEGNI SCOGNAMIGLIO";"2"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"FED.DEI VERDI";"13"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"FIAMMA TRICOLORE";"12"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"SOCIALISTI UNITI";"21"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"UNITI NELL'ULIVO";"238"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"PARTITO PENSIONATI";"13"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"MOV.IDEA SOC. RAUTI";"3"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERDIFUMO";1775;871;1102;558;126;"A.P. UDEUR";"11"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"ALTERNATIVA SOCIALE";"2"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"FORZA ITALIA";"61"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"P.SEGNI SCOGNAMIGLIO";"2"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"FED.DEI VERDI";"3"
