,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,csu,rep,fdp,oedp,bp,cm,liga,solidariaet,bsa,apd,bfb,familie,dsu,graue,naturgesetz,autonome,npd,forum,pbc,pass,pds,pead,statt
448,A_15113,89962,57517,15635,17326,2896,0,2038,2661,163,85,89,83,180,66,950,563,0,239,743,164,64,125,582,74,1180,8830,46,163
449,A_15118,28718,20157,5199,6579,785,0,647,1009,60,37,33,22,60,22,330,167,0,93,230,84,16,66,181,71,439,2930,12,48
450,A_15124,23984,17406,4871,5406,776,0,552,821,57,32,34,19,55,15,354,136,0,76,134,67,12,45,123,33,319,2553,17,64
451,A_15126,56934,37367,9864,11892,1683,0,929,1453,97,104,60,39,88,37,419,512,0,101,357,95,52,104,341,66,716,6556,19,84
452,A_15134,26071,18185,4625,5584,941,0,503,738,36,22,46,13,44,17,310,184,0,156,208,69,25,39,462,31,479,2932,16,59
453,A_15144,66723,43510,11590,12831,2688,0,1362,2094,159,85,85,65,154,44,741,485,0,118,501,170,49,124,477,91,915,6805,43,219
454,A_15147,28226,19456,5334,5622,1302,0,612,1025,42,32,32,24,53,27,251,162,0,98,226,74,25,57,211,16,424,2991,19,65
455,A_15202,227627,138458,30474,31570,9333,0,2755,9269,354,123,139,144,551,105,1822,1521,0,387,2801,393,193,328,2683,146,2326,33030,150,617
456,A_15211,47109,32161,8657,9242,1739,0,708,1670,91,43,37,27,72,34,403,260,0,426,389,102,29,109,343,32,785,5701,28,141
457,A_15215,51392,34147,9056,11300,1140,0,886,1310,83,52,52,40,108,22,506,354,0,136,574,104,21,91,351,33,673,5695,23,118
458,A_15222,40584,27997,7507,9495,1125,0,703,931,74,42,32,40,66,42,454,266,0,127,316,79,31,76,316,51,609,4295,40,92
459,A_15223,20549,14228,3763,4764,529,0,387,521,31,19,22,10,36,15,210,100,0,62,126,36,10,56,92,9,294,2437,21,34
460,A_15227,87933,56123,14813,16794,2578,0,1352,3181,135,78,69,70,121,67,772,457,0,299,799,169,56,155,1308,61,1027,8942,69,480
461,A_15228,39478,27171,6812,8483,1671,0,1021,1596,78,40,47,40,97,26,426,224,0,225,439,91,25,113,276,21,489,3790,16,74
462,A_15229,21616,15493,3739,4815,680,0,482,1245,42,25,23,31,57,15,229,133,0,53,143,46,14,77,231,22,363,2189,26,36
463,A_15233,23772,16711,3992,5274,593,0,480,1513,45,29,33,18,39,13,259,132,0,94,153,59,15,52,241,18,343,2400,29,48
464,A_15235,49655,35528,8259,11481,1500,0,967,2804,109,49,43,44,99,29,590,313,0,146,377,108,29,130,398,28,704,5257,31,118
465,A_15237,57138,39737,10458,12690,1615,0,1121,2196,102,54,56,41,108,45,584,310,0,109,512,112,63,133,436,56,931,5967,60,103
466,A_15242,46935,29505,7346,9443,1375,0,900,1313,102,53,52,48,78,34,455,294,0,225,424,114,42,104,355,32,623,4798,32,207
467,A_15246,56165,36256,9072,11909,1575,0,1207,1412,100,80,73,38,97,42,573,351,0,131,443,114,24,104,306,61,723,5848,52,123
468,A_15303,211283,131619,38310,28747,10519,0,3078,3404,318,105,123,77,207,99,1415,1120,0,273,2062,348,137,286,1318,180,1965,33869,89,787
469,A_15314,46867,31465,9309,9229,1532,0,793,1077,86,37,59,32,60,26,363,305,0,88,345,97,53,57,427,40,490,5845,30,68
470,A_15316,27599,19407,5312,5848,1200,0,600,801,39,18,24,20,33,17,186,228,0,54,236,52,50,43,188,21,379,3196,12,66
471,A_15317,28105,18763,6050,4916,1069,0,521,692,63,27,31,20,49,19,299,200,0,35,197,88,44,45,180,21,432,2979,12,75
472,A_15319,65358,44333,12266,14003,2389,0,1177,1430,96,75,46,37,88,27,470,375,0,117,558,119,68,136,1126,78,711,7485,14,102
473,A_15320,42319,30644,8901,9679,1753,0,798,1066,78,26,47,44,61,44,308,360,0,76,291,89,54,64,230,78,522,4468,30,81
474,A_15321,15373,10397,3013,2836,412,0,270,499,35,9,15,31,26,9,129,74,0,50,133,36,8,24,61,39,196,2077,10,27
475,A_15325,21567,14840,3974,4676,777,0,464,805,43,24,28,22,22,15,165,151,0,37,147,39,13,42,157,27,227,2330,8,50
476,A_15330,31502,22416,7987,6341,947,0,505,564,41,36,26,31,43,21,278,166,0,53,224,66,24,43,147,21,362,3609,11,37
477,A_15331,31783,22919,6558,6883,1092,0,626,855,57,28,40,26,41,28,283,191,0,66,198,68,29,40,280,58,447,3978,12,73
478,A_15332,64173,41554,11479,12264,2147,0,1020,2105,119,57,57,67,79,41,626,450,0,311,575,138,35,151,584,89,918,6256,35,124
479,A_15336,33298,22498,6375,6413,1238,0,706,622,51,15,32,24,47,24,237,258,0,70,196,76,65,23,354,40,345,4284,22,55
480,A_15338,61219,40299,10871,12965,1890,0,1044,1251,102,51,52,31,74,39,503,377,0,131,438,118,28,76,318,76,808,7533,37,93
481,A_15339,50083,32849,9242,9851,1438,0,760,1318,64,49,40,40,84,41,348,234,0,114,332,102,29,76,203,32,570,6480,28,108
482,A_15340,70903,44601,13752,12569,2496,0,1220,1383,106,55,68,58,87,59,549,420,0,132,543,129,41,134,469,81,827,7724,33,154
483,A_15341,30384,22007,6166,6791,1035,0,569,946,36,29,25,28,50,23,287,181,0,55,168,55,6,51,137,28,372,4009,16,47
484,A_15343,75873,54552,15695,15552,3339,0,1466,1960,133,72,76,66,107,44,789,520,0,133,721,158,90,161,559,99,984,9876,46,159
485,A_15345,33999,23844,6476,7615,1341,0,668,943,85,25,35,29,56,39,380,263,0,57,287,70,28,66,198,24,433,3575,23,118
488,A_16001,155611,99525,24922,26907,8503,0,1744,2722,648,96,53,110,118,50,828,1097,0,578,1172,335,82,216,2366,135,740,23141,44,714
489,A_16002,97669,62781,13812,17026,3811,0,1618,1745,134,76,61,72,98,32,737,658,0,1081,849,244,76,152,842,51,664,16468,43,394
490,A_16003,77427,52274,13484,12391,5616,0,1021,2748,169,59,35,35,54,21,442,737,0,336,533,190,97,120,1360,63,408,10883,33,396
491,A_16004,41785,29081,6362,7415,1667,0,697,877,156,23,28,32,45,7,248,171,0,139,221,92,34,58,1049,19,207,8596,18,93
492,A_16005,46656,32493,7997,9183,3673,0,722,1310,130,28,23,36,36,15,316,321,0,166,407,120,59,100,971,46,276,5489,17,228
493,A_16011,73605,49883,12173,17542,2656,0,1622,1432,98,56,51,55,46,18,449,344,0,421,433,171,52,145,632,120,536,8440,30,325
494,A_16012,34731,24936,5727,9102,1268,0,629,1409,63,33,24,25,17,8,694,205,0,117,261,78,22,82,314,39,208,3519,9,94
495,A_16013,47422,34682,8751,11693,2020,0,877,1409,95,65,29,43,47,12,351,247,0,685,312,141,20,193,824,58,356,5056,18,146
496,A_16014,39317,29908,8107,10043,1216,0,975,1477,50,43,23,30,26,9,255,147,0,262,197,133,11,71,324,18,311,4777,25,85
497,A_16015,66009,49291,12710,18913,2451,0,1657,1913,78,46,53,39,46,17,372,223,0,300,325,167,16,101,416,46,295,7007,18,234
498,A_16016,83494,59378,17151,20541,3643,0,1521,1991,183,57,56,75,44,14,494,300,0,378,502,165,38,150,674,89,427,8523,21,436
499,A_16017,24380,17125,4193,5306,1004,0,576,1004,53,33,22,36,31,7,178,173,0,137,188,102,15,42,192,11,174,2710,11,79
500,A_16018,34225,26353,5814,10769,1611,0,641,1153,100,40,22,36,32,7,267,249,0,166,197,124,15,65,374,13,198,3268,11,120
501,A_16019,40117,29880,7244,10984,1595,0,943,1157,64,47,37,28,38,13,317,281,0,477,266,142,20,67,323,38,240,4207,15,111
502,A_16020,106817,76691,21351,26039,4839,0,1830,3478,181,90,63,96,68,27,761,489,0,798,766,274,63,288,914,115,585,10144,41,836
503,A_16021,35682,25175,7233,8276,1299,0,890,875,73,37,37,38,35,15,284,218,0,212,244,104,16,55,544,84,241,3392,12,102
504,A_16022,31367,24870,4271,14271,1009,0,478,679,239,11,43,26,9,5,155,69,0,102,132,37,9,44,215,26,147,2184,3,59
505,A_16023,44314,33586,8477,11831,1429,0,944,2237,133,41,12,24,26,18,297,151,0,423,152,128,15,60,269,19,233,5234,9,87
506,A_16024,49298,37445,9207,13299,1627,0,1325,1251,92,36,18,42,32,13,379,234,0,839,261,110,53,91,684,38,339,5840,16,151
507,A_16025,24245,18277,4147,6631,1132,0,657,1145,56,36,20,19,30,4,192,184,0,127,150,109,16,45,308,16,136,2316,9,89
508,A_16026,33564,24545,6578,8603,1152,0,707,1562,48,28,13,14,20,6,219,147,0,141,164,86,12,82,235,43,169,3535,9,101
509,A_16027,20957,15987,4535,4987,626,0,582,745,58,24,44,25,7,7,174,84,0,160,122,63,19,26,120,33,124,2767,7,53
510,A_16028,50487,38638,8946,14556,2231,0,979,1291,135,53,28,34,34,12,337,196,0,258,351,121,21,58,354,56,313,6549,19,272
511,A_16029,65438,49119,14404,18802,2282,0,1208,1766,87,43,32,50,39,14,367,264,0,327,375,152,20,145,419,32,371,6154,26,304
512,A_16030,27308,21077,5964,7061,829,0,844,739,41,17,15,14,11,8,183,127,0,153,105,68,9,33,217,16,134,3456,6,52
513,A_16031,82257,57415,17272,17761,2838,0,1460,2005,106,72,33,36,49,20,434,234,0,180,476,171,30,124,1196,126,392,10478,15,110
514,A_16032,38609,28036,6909,9875,1421,0,1499,1266,60,32,22,27,17,16,209,187,0,520,194,103,16,55,295,33,229,3928,13,107
515,A_16033,49702,35720,8420,12305,1962,0,1202,1611,100,46,50,37,28,24,371,322,0,302,358,156,30,110,536,41,357,5888,19,164
