,teryt_code,eligible_voters,issued_ballots,spd,cdu,fdp,linke,gruene,csu,npd,rep,familie,tierschutz,pbc,mlpd,bueso,bp,psg,volksabstimmung,zentrum,adm,cm,dkp,dvu,violetten,fwd,oedp,piraten,rrp,renter
161,A_07312,73328,47214,11369,13360,7076,6416,4907,0,847,355,520,0,118,21,0,0,0,0,0,0,0,0,37,0,0,116,1337,0,0
162,A_07313,33488,23182,5270,6902,3845,2097,3314,0,271,121,241,0,85,7,0,0,0,0,0,0,0,0,14,0,0,78,570,0,0
163,A_07314,104383,68793,19127,20083,9004,7842,5927,0,926,2154,632,0,116,80,0,0,0,0,0,0,0,0,69,0,0,141,1498,0,0
164,A_07315,141588,106408,23139,32946,15287,7858,19596,0,463,1510,444,0,131,18,0,0,0,0,0,0,0,0,38,0,0,903,2773,0,0
165,A_07316,41794,30440,6087,11455,4919,2255,3438,0,366,195,347,0,128,8,0,0,0,0,0,0,0,0,18,0,0,70,624,0,0
166,A_07317,33312,21071,4845,6493,3022,3081,1290,0,387,604,260,0,66,4,0,0,0,0,0,0,0,0,20,0,0,45,395,0,0
167,A_07318,36786,25579,5535,8245,3764,2506,3303,0,224,478,316,0,70,3,0,0,0,0,0,0,0,0,15,0,0,121,535,0,0
168,A_07319,60090,39626,10742,12500,5746,3541,3589,0,700,425,413,0,115,8,0,0,0,0,0,0,0,0,42,0,0,87,857,0,0
169,A_07320,27486,18372,4565,4941,2671,2914,1494,0,411,67,257,0,42,3,0,0,0,0,0,0,0,0,11,0,0,120,500,0,0
170,A_07331,97060,72285,19727,22500,11349,5973,6659,0,1297,684,742,0,244,14,0,0,0,0,0,0,0,0,77,0,0,191,1419,0,0
171,A_07332,105251,79828,19104,27161,13676,6729,7010,0,1082,752,1185,0,198,16,0,0,0,0,0,0,0,0,57,0,0,167,1327,0,0
172,A_07333,59946,42441,11818,12071,6276,4952,3462,0,1075,338,530,0,100,16,0,0,0,0,0,0,0,0,42,0,0,118,786,0,0
173,A_07334,93625,67432,15198,23306,10887,5617,5844,0,1037,1303,793,0,237,37,0,0,0,0,0,0,0,0,55,0,0,342,1502,0,0
174,A_07335,83171,59929,14831,19671,8626,7346,4320,0,1126,533,857,0,176,15,0,0,0,0,0,0,0,0,50,0,0,141,1042,0,0
175,A_07336,60380,43499,12981,10740,5197,7569,3164,0,751,440,632,0,113,15,0,0,0,0,0,0,0,0,35,0,0,88,780,0,0
176,A_07337,87102,65535,14322,22309,11469,5423,6477,0,964,556,855,0,253,15,0,0,0,0,0,0,0,0,65,0,0,189,1250,0,0
177,A_07338,115974,89326,21034,31343,14698,7095,7877,0,853,1557,982,0,194,46,0,0,0,0,0,0,0,0,87,0,0,222,1746,0,0
178,A_07339,155255,120159,28820,40662,19411,8648,14510,0,977,1154,904,0,176,24,0,0,0,0,0,0,0,0,76,0,0,549,2413,0,0
179,A_07340,81627,61889,12935,22079,9669,7369,3827,0,1133,698,963,0,186,13,0,0,0,0,0,0,0,0,51,0,0,169,1142,0,0
