,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,linke,afd,csu,fdp,fw,piraten,tierschutz,npd,fpd,oedp,partei,ajddvpfdm,bayern,dkp,mlpd,sgvi,tierschutzdo,afmtn,bcfd,bfig,bg,direkt,diem25,dw,grauen,rechte,violetten,liebe,frauen,grauepanther,lkr,mwfdwga,nlds,oel,humanisten,pfdtd,pfg,volt
119,A_05962,302136,170134,52808,32827,30402,6262,16988,0,11983,1240,1121,2934,346,1369,980,3092,304,122,59,71,14,489,252,541,605,97,98,312,35,398,78,155,134,209,395,156,114,58,84,228,349,253,692
120,A_05966,102295,64922,29663,9958,9457,1617,4728,0,4390,391,300,728,72,440,229,996,74,50,19,17,11,95,67,46,55,26,26,72,47,95,26,45,33,70,77,65,43,17,11,57,82,77,196
121,A_05970,211301,130012,37646,26496,22787,5703,13427,0,8638,911,805,1949,206,1012,1561,3107,217,143,44,29,22,235,170,594,324,68,65,281,62,253,64,96,120,143,264,157,102,54,111,238,250,158,517
122,A_05974,232462,140546,46716,25043,29429,5003,11331,0,9811,856,845,1915,184,1066,589,2763,185,63,54,23,13,278,178,192,122,87,87,267,21,270,77,124,126,168,231,122,97,46,88,190,238,197,576
123,A_05978,304843,181778,43125,45595,37618,7407,17690,0,10643,1354,1341,2969,351,1491,646,3625,300,107,56,75,36,514,267,132,603,111,117,276,25,431,190,134,137,187,438,121,148,71,72,276,430,316,796
126,A_06411,107437,71045,11506,10721,23761,5030,4569,0,3997,528,850,871,33,189,940,3656,59,38,36,61,13,118,63,165,319,90,41,580,16,74,19,60,46,84,102,97,46,77,124,348,83,80,1145
127,A_06412,429856,258304,50517,38729,80382,16790,17316,0,19895,2455,1970,2902,248,622,1318,9151,230,185,191,118,47,379,241,293,1719,309,119,2335,31,311,81,146,148,326,451,396,233,181,1084,570,323,308,3883
128,A_06413,67788,34927,7050,5629,8937,2520,3500,0,1916,478,392,529,49,121,189,1213,56,33,20,6,8,73,46,46,339,51,16,272,12,65,19,98,21,63,63,43,23,16,116,74,62,54,389
129,A_06414,188034,111027,27077,19995,27906,5267,9667,0,7596,1408,661,1371,99,315,614,3129,116,96,41,48,16,225,110,186,530,116,56,528,19,141,36,79,85,127,152,161,58,67,145,291,199,106,1213
130,A_06431,198695,120229,33924,20550,25914,3949,13356,0,8104,1886,725,2201,260,684,713,2345,250,119,32,26,17,340,212,262,97,101,49,319,29,212,52,111,107,121,201,129,101,39,44,191,312,172,609
131,A_06432,215429,136397,32986,26378,32722,5527,12508,0,8316,1858,1080,2347,213,746,1155,3299,293,141,117,47,16,397,217,422,258,114,57,427,19,260,62,120,99,186,278,167,101,52,119,257,286,249,854
132,A_06433,176014,100854,23762,19965,22748,4544,10435,0,5332,2066,734,1758,145,589,544,2305,212,98,58,76,12,310,152,124,862,87,51,318,23,232,56,80,95,150,248,120,84,42,66,213,239,162,577
133,A_06434,164348,107046,32197,14311,27258,3215,9165,0,9939,1219,597,1368,128,377,558,2170,132,140,35,16,9,221,110,162,111,83,58,320,18,137,34,81,68,102,165,308,95,52,96,189,140,117,909
134,A_06435,299123,168204,43758,29727,34729,6203,20729,0,10275,3174,1143,3048,462,962,1319,3758,370,226,96,51,30,487,302,229,484,146,90,468,38,340,101,178,176,223,353,257,181,81,141,290,459,311,884
135,A_06436,165816,106307,31652,15227,26299,3408,9479,0,8485,1641,582,1420,115,455,616,2199,120,112,28,17,11,236,100,113,301,80,44,332,20,167,23,66,74,126,188,213,83,49,63,195,179,99,864
136,A_06437,70869,39925,10485,8636,6970,1717,4560,0,2536,540,203,712,82,249,251,773,97,44,27,13,9,107,82,111,56,32,15,105,11,64,28,30,45,52,75,47,62,25,35,48,101,81,211
137,A_06438,238715,142756,39264,21128,34684,5217,14225,0,10089,2725,947,2206,196,711,940,3224,260,202,47,28,15,333,236,159,559,103,91,436,37,250,76,229,116,158,276,221,132,51,115,224,299,225,891
138,A_06439,138642,89677,26210,15184,20487,2926,8663,0,6245,1308,524,1360,103,419,426,1868,103,103,23,16,10,237,91,135,70,73,45,222,44,104,30,61,77,105,161,120,72,31,62,175,173,102,579
139,A_06440,225720,131970,35201,22655,30002,4621,13745,0,8570,2779,876,2190,631,671,822,2988,259,122,45,17,17,356,225,202,183,108,59,386,29,199,63,109,145,143,234,172,113,45,111,202,294,215,743
140,A_06531,200804,115449,26628,21074,28522,5780,11064,0,6068,2665,673,1689,231,442,1071,3910,180,66,103,63,21,260,143,310,167,97,72,482,23,136,53,90,77,143,159,154,107,50,128,340,199,170,778
141,A_06532,189854,99745,28512,19965,17594,3400,11847,0,5420,2062,513,1500,343,547,969,2329,179,118,49,31,11,245,170,486,215,66,56,202,24,144,56,67,57,118,157,105,94,26,45,128,228,135,424
142,A_06533,128963,71311,22646,13003,12937,2140,7821,0,4514,1430,319,1233,139,378,302,1385,93,56,31,14,10,179,90,110,78,55,32,114,59,96,43,57,45,75,144,86,53,29,54,91,146,134,309
143,A_06534,183183,104228,25203,20696,24425,6119,9621,0,5267,1365,634,1484,142,487,956,2998,138,110,60,26,20,193,115,271,119,105,32,515,18,137,54,71,58,117,125,115,115,37,244,292,132,114,809
144,A_06535,84549,47658,13725,9893,7797,1658,5823,0,2904,1182,193,690,166,261,399,805,92,51,12,9,8,141,83,83,19,48,16,72,26,65,22,49,48,70,76,51,53,7,43,44,101,84,142
145,A_06611,140438,77652,13392,14867,23726,6189,5747,0,3523,821,651,1046,90,248,616,2773,88,40,55,68,11,157,86,139,188,159,33,459,9,116,36,69,62,79,102,87,83,31,135,165,123,77,643
146,A_06631,169880,97074,36798,10911,16882,2896,12312,0,6246,1620,459,1208,238,589,853,2045,166,131,19,10,11,216,117,227,48,71,44,174,22,138,40,79,69,121,155,105,87,38,57,139,171,153,405
147,A_06632,93123,51375,13211,13717,7649,1786,6717,0,2670,959,249,666,194,285,253,816,78,51,7,8,5,156,82,182,25,38,29,66,10,76,28,24,44,53,76,47,40,8,14,34,124,77,150
148,A_06633,188527,106538,24050,30061,21314,4214,10021,0,5346,1732,563,1586,148,568,376,1812,189,64,17,46,18,310,166,131,78,93,59,186,21,165,39,85,83,108,187,116,93,31,64,118,236,148,418
