,teryt_code,eligible_voters,issued_ballots,cdu,gruene,spd,afd,csu,linke,fdp,partei,fw,tierschutz,oedp,fpd,volt,piraten,mera25,heimat,aptierschutz,pfsv,bfig,bcfd,humanisten,mwfdwga,dkp,mlpd,sgvi,abg,bdp,bundnisd,bsw,dava,klimaliste,pasdlg,pdv,pdf,v_partei3
323,A_09764,29932,17678,0,1762,1875,2755,6348,267,827,264,856,172,608,56,264,69,30,23,47,9,10,44,35,27,2,1,1,41,62,72,780,130,8,29,10,108,26
324,A_09771,103992,71595,0,6923,4935,9932,30902,633,2525,1013,5892,702,1540,251,1042,249,63,37,219,23,30,126,168,89,6,5,5,57,432,251,2597,77,32,103,41,399,134
325,A_09772,195162,128044,0,13038,9822,17903,53982,1363,4514,2081,9834,1363,2431,512,1702,447,178,95,409,55,52,183,267,143,13,22,12,117,567,418,4559,315,64,201,100,683,289
326,A_09773,74645,46433,0,3018,2928,8271,20296,335,1477,508,4908,371,489,177,398,109,34,58,122,12,12,59,78,42,8,5,3,32,284,150,1701,61,22,60,35,186,65
327,A_09774,92558,55544,0,3836,3655,9814,23618,507,1758,795,4527,652,947,257,793,230,67,69,186,18,28,84,99,76,4,4,4,53,235,221,2087,260,23,75,38,291,91
328,A_09775,127789,76640,0,8016,6776,11316,30299,829,3212,1097,4055,1054,1074,320,1637,426,176,94,241,29,59,180,179,120,16,18,16,50,233,340,3354,390,63,113,51,473,135
329,A_09776,61180,39879,0,5240,3565,4325,15461,582,1824,737,2575,509,816,178,753,149,79,26,128,8,20,92,90,72,2,7,6,36,253,144,1521,95,31,101,37,254,75
330,A_09777,110430,75116,0,7289,4744,9190,32244,710,2517,1231,7624,741,1573,326,1006,236,80,63,216,29,30,170,144,116,8,2,3,93,508,298,2846,81,33,129,58,447,136
331,A_09778,112451,73562,0,5306,4113,12186,30999,641,2492,990,7634,713,1906,297,745,224,72,88,202,19,25,169,114,93,7,9,6,123,375,285,2768,65,22,113,65,367,105
332,A_09779,102893,67026,0,4895,4847,8719,31639,543,1978,766,5867,551,1043,285,608,211,58,42,187,13,28,88,116,73,11,12,8,65,580,250,2736,72,30,94,43,283,90
333,A_09780,122658,82961,0,9044,5394,9339,35521,783,3320,1256,8073,995,1397,319,1336,210,97,53,305,26,30,135,115,105,18,4,4,137,543,247,3018,58,54,173,57,425,118
336,A_10041,235964,150375,36835,13007,30186,22601,0,3892,7532,3980,2066,3081,1200,1629,3556,826,400,138,1368,57,87,108,325,265,78,71,29,100,204,463,11901,548,109,546,118,808,268
337,A_10042,78550,56619,18156,2799,10965,8574,0,897,2620,1103,796,1073,264,606,958,230,62,53,597,17,25,74,95,109,7,21,10,32,111,220,4661,54,18,68,56,267,68
