code_start,year_start,name_start,code_latest,name_latest,proportion_population,proportion_area,name_chain
A_07318000,1990,KS Speyer,A_07318000,"Speyer, kreisfreie Stadt",1.0,1.0,"KS Speyer -> Speyer, Kreisfreie Stadt -> Speyer, Stadt -> Speyer, kreisfreie Stadt"
A_07319000,1990,KS Worms,A_07319000,"Worms, kreisfreie Stadt",1.0,1.0,"KS Worms -> Worms, Kreisfreie Stadt -> Worms, Stadt -> Worms, kreisfreie Stadt"
A_07320000,1990,KS Zweibrücken,A_07320000,"Zweibrücken, kreisfreie Stadt",1.0,1.0,"KS Zweibrücken -> Zweibrücken, Kreisfreie Stadt -> Zweibrücken, Stadt -> Zweibrücken, kreisfreie Stadt"
A_07331000,1990,Alzey-Worms,A_07331000,Alzey-Worms,1.0,1.0,Alzey-Worms
A_07332000,1990,Bad Dürkheim,A_07332000,Bad Dürkheim,1.0,1.0,Bad Dürkheim
A_07333000,1990,Donnersbergkreis,A_07333000,Donnersbergkreis,1.0,1.0,Donnersbergkreis
A_07334000,1990,Germersheim,A_07334000,Germersheim,1.0,1.0,Germersheim
A_07335000,1990,Kaiserslautern,A_07335000,Kaiserslautern,1.0,1.0,Kaiserslautern
A_07336000,1990,Kusel,A_07336000,Kusel,1.0,1.0,Kusel
A_07337000,1990,Südliche Weinstraße,A_07337000,Südliche Weinstraße,1.0,1.0,Südliche Weinstraße
A_07338000,1990,Ludwigshafen,A_07338000,Rhein-Pfalz-Kreis,1.0,1.0,Ludwigshafen -> Rhein-Pfalz-Kreis
A_07339000,1990,Mainz-Bingen,A_07339000,Mainz-Bingen,1.0,1.0,Mainz-Bingen
A_07340000,1990,Pirmasens,A_07340000,Südwestpfalz,1.0,1.0,Pirmasens -> Südwestpfalz
A_08111000,1990,KS Stuttgart,A_08111000,"Stuttgart, Stadtkreis",1.0,1.0,"KS Stuttgart -> Stuttgart, Kreisfreie Stadt -> Stuttgart -> Stuttgart, Stadt -> Stuttgart, Stadtkreis"
A_08115000,1990,Böblingen,A_08115000,Böblingen,1.0,1.0,Böblingen
A_08116000,1990,Esslingen,A_08116000,Esslingen,1.0,1.0,Esslingen
A_08117000,1990,Göppingen,A_08117000,Göppingen,1.0,1.0,Göppingen
A_08118000,1990,Ludwigsburg,A_08118000,Ludwigsburg,1.0,1.0,Ludwigsburg
A_08119000,1990,Rems-Murr-Kreis,A_08119000,Rems-Murr-Kreis,1.0,1.0,Rems-Murr-Kreis
A_08121000,1990,KS Heilbronn,A_08121000,"Heilbronn, Stadtkreis",1.0,1.0,"KS Heilbronn -> Heilbronn, Kreisfreie Stadt -> Heilbronn -> Heilbronn, Stadt -> Heilbronn, Stadtkreis"
A_08125000,1990,Heilbronn,A_08125000,Heilbronn,1.0,1.0,Heilbronn
A_08126000,1990,Hohenlohekreis,A_08126000,Hohenlohekreis,1.0,1.0,Hohenlohekreis
A_08127000,1990,Schwäbisch Hall,A_08127000,Schwäbisch Hall,1.0,1.0,Schwäbisch Hall
A_08128000,1990,Main-Tauber-Kreis,A_08128000,Main-Tauber-Kreis,1.0,1.0,Main-Tauber-Kreis
A_08135000,1990,Heidenheim,A_08135000,Heidenheim,1.0,1.0,Heidenheim
A_08136000,1990,Ostalbkreis,A_08136000,Ostalbkreis,1.0,1.0,Ostalbkreis
A_08211000,1990,KS Baden-Baden,A_08211000,"Baden-Baden, Stadtkreis",1.0,1.0,"KS Baden-Baden -> Baden-Baden, Kreisfreie Stadt -> Baden-Baden -> Baden-Baden, Stadt -> Baden-Baden, Stadtkreis"
A_08212000,1990,KS Karlsruhe,A_08212000,"Karlsruhe, Stadtkreis",1.0,1.0,"KS Karlsruhe -> Karlsruhe, Kreisfreie Stadt -> Karlsruhe -> Karlsruhe, Stadt -> Karlsruhe, Stadtkreis"
A_08215000,1990,Karlsruhe,A_08215000,Karlsruhe,1.0,1.0,Karlsruhe
A_08216000,1990,Rastatt,A_08216000,Rastatt,1.0,1.0,Rastatt
A_08221000,1990,KS Heidelberg,A_08221000,"Heidelberg, Stadtkreis",1.0,1.0,"KS Heidelberg -> Heidelberg, Kreisfreie Stadt -> Heidelberg -> Heidelberg, Stadt -> Heidelberg, Stadtkreis"
A_08222000,1990,KS Mannheim,A_08222000,"Mannheim, Stadtkreis",1.0,1.0,"KS Mannheim -> Mannheim, Kreisfreie Stadt -> Mannheim -> Mannheim, Stadt -> Mannheim, Stadtkreis"
A_08225000,1990,Neckar-Odenwald-Kreis,A_08225000,Neckar-Odenwald-Kreis,1.0,1.0,Neckar-Odenwald-Kreis
A_08226000,1990,Rhein-Neckar-Kreis,A_08226000,Rhein-Neckar-Kreis,1.0,1.0,Rhein-Neckar-Kreis
A_08231000,1990,KS Pforzheim,A_08231000,"Pforzheim, Stadtkreis",1.0,1.0,"KS Pforzheim -> Pforzheim, Kreisfreie Stadt -> Pforzheim -> Pforzheim, Stadt -> Pforzheim, Stadtkreis"
A_08235000,1990,Calw,A_08235000,Calw,1.0,1.0,Calw
A_08236000,1990,Enzkreis,A_08236000,Enzkreis,1.0,1.0,Enzkreis
A_08237000,1990,Freudenstadt,A_08237000,Freudenstadt,1.0,1.0,Freudenstadt
