,teryt_code,eligible_voters,issued_ballots,cdu,spd,fdp,linke,gruene,csu,piraten,npd,tierschutz,rep,oedp,familie,21rrp,renter,bp,pbc,bueso,violetten,mlpd,volksabstimmung,psg,afd,big,prodeutschland,rechte,frauen,freiewahler,nichwahler,vernunft,partei
311,A_09773,72098,48393,0,7873,2470,1545,2785,25844,720,651,335,660,325,0,54,0,394,0,6,63,8,0,0,2099,0,31,0,138,1867,0,41,0
312,A_09774,89221,58846,0,9655,2505,1857,3371,32239,1014,864,477,316,597,0,26,0,478,0,13,69,9,0,0,3337,0,41,0,155,1276,0,72,0
313,A_09775,122438,84475,0,17332,4168,3636,6178,41121,1699,1287,601,182,785,0,28,0,336,0,20,99,35,0,0,4763,0,85,0,173,1209,0,85,0
314,A_09776,59070,41124,0,7076,2374,1669,4419,20244,744,225,309,127,630,0,20,0,176,0,8,64,7,0,0,1659,0,27,0,82,890,0,52,0
315,A_09777,103324,73823,0,10245,3224,2157,5286,41814,1175,425,425,197,914,0,25,0,2072,0,11,97,10,0,0,3200,0,37,0,166,1775,0,69,0
316,A_09778,105895,73385,0,9474,3369,2030,4368,42017,1226,874,512,321,1384,0,12,0,693,0,17,81,13,0,0,3694,0,65,0,155,2370,0,84,0
317,A_09779,99965,70033,0,12350,2812,2393,4319,38455,1004,746,441,226,833,0,62,0,519,0,6,135,17,0,0,2813,0,46,0,304,1776,0,77,0
318,A_09780,117189,84908,0,11865,4599,2446,7248,46998,1154,498,653,648,1097,0,119,0,670,0,15,131,14,0,0,3510,0,58,0,155,2384,0,80,0
319,A_10041,253130,177081,58869,54144,7584,19844,12390,0,4928,3246,0,0,0,2053,0,0,0,0,0,0,175,0,0,8448,0,299,0,0,1138,0,0,0
320,A_10042,81462,59768,24489,17232,2172,4778,2833,0,1497,881,0,0,0,649,0,0,0,0,0,0,21,0,0,2934,0,97,0,0,384,0,0,0
321,A_10043,110145,78379,26911,25828,2408,8299,3355,0,2059,1390,0,0,0,1065,0,0,0,0,0,0,37,0,0,4414,0,105,0,0,430,0,0,0
322,A_10044,158618,115806,44268,34555,4109,10472,5950,0,2791,2093,0,0,0,1325,0,0,0,0,0,0,61,0,0,5958,0,175,0,0,848,0,0,0
323,A_10045,118129,88281,33271,25789,3535,7971,4933,0,2066,1392,0,0,0,1635,0,0,0,0,0,0,45,0,0,4824,0,129,0,0,553,0,0,0
324,A_10046,74588,58113,24560,17044,1698,4681,2537,0,1352,689,0,0,0,722,0,0,0,0,0,0,22,0,0,2713,0,97,0,0,311,0,0,0
325,A_11000,2505718,1815415,508643,439387,63616,330507,220737,0,64018,27014,0,2564,3612,0,0,0,0,0,1810,0,1410,0,965,88060,3509,5665,0,0,7531,0,0,18673
326,A_12051,60766,36900,12232,9890,741,8451,1492,0,743,694,0,43,0,0,0,0,0,0,0,0,44,0,0,1609,0,104,0,0,251,0,0,0
327,A_12052,83462,54875,17723,12528,1299,13104,2300,0,1379,1185,0,53,0,0,0,0,0,0,0,0,69,0,0,3701,0,186,0,0,566,0,0,0
328,A_12053,47973,31127,9669,6949,593,8294,1257,0,690,633,0,37,0,0,0,0,0,0,0,0,53,0,0,1906,0,144,0,0,270,0,0,0
329,A_12054,128279,94384,25142,23610,2524,22430,9586,0,2971,945,0,103,0,0,0,0,0,0,0,0,182,0,0,4877,0,295,0,0,516,0,0,0
330,A_12060,148254,101345,32441,21181,2261,26514,4682,0,2303,2454,0,157,0,0,0,0,0,0,0,0,118,0,0,6190,0,466,0,0,1075,0,0,0
331,A_12061,134465,97346,32935,21548,2652,20455,4251,0,2115,2940,0,314,0,0,0,0,0,0,0,0,114,0,0,6196,0,434,0,0,1640,0,0,0
332,A_12062,92466,62839,25109,12210,1599,12666,1685,0,1421,2258,0,108,0,0,0,0,0,0,0,0,74,0,0,3669,0,266,0,0,601,0,0,0
