,teryt_code,eligible_voters,issued_ballots,cdu,spd,linke,gruene,csu,fdp,afd,piraten,npd,freiewahler,tierschutz,oedp,partei,bp,volksabstimmung,pdv,mlpd,bueso,sgp,rechte,addemokraten,tierschutzallianz,bstern,bge,dib,dkp,dm,grauen,du,mg,menschliche,humanisten,gesundheitsforschung,vpartei3
145,A_07133,120430,92279,31286,24429,6032,6294,0,9219,10544,333,213,1309,0,298,890,0,0,0,23,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,216
146,A_07134,64742,47629,15903,13477,3461,2335,0,4435,5654,154,153,601,0,194,426,0,0,0,8,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,102
147,A_07135,48925,38411,17743,7927,1871,1843,0,4165,3226,103,73,338,0,85,315,0,0,0,5,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,88
148,A_07137,166711,127838,50805,30647,7222,8083,0,13116,12783,523,264,1175,0,236,1120,0,0,0,32,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,300
149,A_07138,138511,105650,39187,26300,6588,6776,0,10583,11060,422,255,1149,0,196,940,0,0,0,46,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,244
150,A_07140,80985,63325,24201,15142,4126,3735,0,6897,6135,248,164,749,0,263,581,0,0,0,14,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,154
151,A_07141,95682,74371,24515,20672,4720,4926,0,7495,8029,342,155,1325,0,136,810,0,0,0,22,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,199
152,A_07143,154218,119834,46872,27835,6860,6994,0,13095,12839,477,330,1565,0,204,1004,0,0,0,22,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,305
153,A_07211,80382,60103,19358,14163,6499,7269,0,5650,4624,284,83,342,0,171,841,0,0,0,19,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,168
154,A_07231,86614,67575,28285,14629,4225,4060,0,7398,5605,229,141,1074,0,297,533,0,0,0,21,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,169
155,A_07232,72690,55672,24001,12684,3024,3502,0,5510,4046,138,106,821,0,176,418,0,0,0,11,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,105
156,A_07233,48142,37415,16967,7672,2330,2057,0,3842,3042,123,54,353,0,147,287,0,0,0,5,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,75
157,A_07235,112464,91448,36524,22787,6435,6243,0,8191,7302,321,159,1076,0,167,749,0,0,0,18,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,193
158,A_07311,33743,24859,7949,5617,1852,1659,0,2426,4041,108,101,311,0,39,226,0,0,0,27,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,65
159,A_07312,72154,51414,14266,12704,4794,4432,0,5247,6937,284,219,639,0,118,784,0,0,0,11,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,168
160,A_07313,35852,27832,8386,5830,2567,3951,0,2769,2762,158,60,432,0,86,364,0,0,0,14,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,105
161,A_07314,102805,72283,19582,19289,5274,5134,0,6487,11583,556,320,1083,0,139,940,0,0,0,117,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,218
162,A_07315,147529,119273,36376,25349,11591,17958,0,13090,8677,760,110,736,0,1298,1689,0,0,0,53,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,324
163,A_07316,40886,32257,11292,6404,1854,3174,0,3463,3826,150,90,1039,0,89,269,0,0,0,13,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,68
164,A_07317,31522,21562,6602,5551,1697,839,0,2015,3411,119,244,266,0,31,269,0,0,0,7,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,60
165,A_07318,36553,27898,8820,5938,2231,2962,0,2756,3726,116,64,410,0,70,301,0,0,0,15,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,79
166,A_07319,58753,43120,12995,10928,3027,3288,0,4075,6360,220,213,448,0,131,492,0,0,0,18,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,127
167,A_07320,26396,18880,5623,4899,1750,1115,0,1693,2704,100,87,207,0,50,281,0,0,0,6,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,68
168,A_07331,97517,78744,25007,20414,4737,5645,0,8058,10741,329,326,1077,0,320,685,0,0,0,28,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,215
169,A_07332,105022,85257,29341,19803,4730,6643,0,9853,10418,372,309,1611,0,147,689,0,0,0,25,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,217
170,A_07333,58490,44574,13188,12466,2985,2768,0,4059,6007,230,239,1161,0,91,508,0,0,0,6,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,156
