,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,csu,linke,fdp,rep,tierschutz,familie,oedp,frauen,volksabstimmung,pbc,cm,aufbruch,dkp,bp,psg,bueso,50plus,auf,dvu,grauen,violetten,ede,fbi,volksentscheide,fw,newropeans,piraten,rrp,renter
285,A_09461,54063,22272,0,3040,3863,8933,757,2466,332,160,72,376,50,34,35,40,26,24,182,6,4,44,28,51,23,42,9,18,23,1037,11,234,96,121
286,A_09462,56455,22314,0,3748,3078,8108,533,2984,260,191,85,262,39,25,106,33,27,14,93,7,4,40,33,49,22,42,6,13,24,1939,16,227,82,78
287,A_09463,32732,12969,0,2855,1576,4864,410,1523,110,96,44,221,29,16,28,22,18,13,43,1,1,22,9,44,5,16,2,4,7,723,4,102,32,49
288,A_09464,35831,12273,0,2207,1010,5447,415,1216,193,105,56,115,21,29,128,27,12,5,74,2,0,36,15,44,18,21,3,25,14,660,6,131,48,54
289,A_09471,113688,51316,0,5547,3652,26625,1156,4585,1201,384,407,678,123,117,147,103,93,15,725,4,7,97,44,115,49,70,8,51,105,3971,24,362,212,245
290,A_09472,85664,38256,0,5741,2720,16405,606,3238,732,231,200,348,59,43,111,53,48,11,264,7,6,57,34,72,24,60,6,41,55,6364,16,187,96,142
291,A_09473,71568,29290,0,6395,2137,13068,796,2367,418,188,161,272,36,37,54,21,33,14,120,11,10,50,21,102,22,53,6,17,19,2330,8,188,56,77
292,A_09474,88341,40935,0,4817,4390,18193,799,3969,870,284,216,414,72,50,144,65,59,13,212,7,4,78,69,69,37,72,22,32,52,5003,16,295,139,184
293,A_09475,82142,32651,0,6488,2016,15343,823,2497,379,240,170,237,35,59,311,53,36,14,174,2,5,39,90,51,27,41,3,25,29,2705,6,197,89,140
294,A_09476,58632,25352,0,5196,1120,12254,541,2003,342,171,112,145,41,25,84,41,17,7,100,6,4,30,28,57,14,34,7,17,20,2229,18,107,48,71
295,A_09477,61669,25748,0,4916,1916,11992,532,2034,286,190,123,295,42,39,87,28,27,7,126,8,8,40,43,63,19,36,6,13,32,2327,4,150,73,100
296,A_09478,55106,24331,0,3247,1270,12862,354,1749,274,143,127,334,38,39,73,43,19,3,130,6,3,39,11,86,17,36,5,31,28,2798,5,206,38,77
297,A_09479,63282,25427,0,5787,1537,11055,765,1780,451,267,146,174,42,37,109,36,33,8,223,1,4,43,14,122,37,26,10,24,39,1981,6,142,95,140
298,A_09561,31226,11435,0,1937,1420,4122,447,935,162,95,52,479,19,21,44,19,10,5,56,3,2,24,9,29,13,18,2,18,19,1155,4,79,76,62
299,A_09562,76157,34910,0,6293,6818,11457,1222,3761,207,243,157,860,69,39,93,26,33,22,101,7,14,60,36,81,29,66,22,29,43,2006,20,550,199,154
300,A_09563,82985,30734,0,6523,4522,9586,1555,2641,398,294,161,405,84,64,99,32,41,25,96,7,6,60,95,186,43,52,4,26,52,2680,12,346,197,186
301,A_09564,345854,138900,0,28682,21241,47394,6179,13068,1986,1386,579,2153,290,261,338,154,118,127,506,36,28,333,216,724,177,297,52,116,221,7966,96,1403,940,803
302,A_09565,29197,12172,0,2172,1544,4724,391,1089,138,120,48,223,15,12,56,11,9,7,57,1,3,25,16,37,20,25,2,13,13,1089,3,94,50,61
