,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,linke,offensived,rep,npd,tierschutz,graue,pbc,frauen,familie,bueso,bp,zentrum,deutschland,agfg,appd,50plus,mlpd,partei,psg,prodm
311,A_09772,179571,143657,32287,0,73955,10315,14766,4394,0,1466,1903,0,511,324,399,911,117,683,0,0,0,0,0,72,0,0,0
312,A_09773,71585,55211,11641,0,30176,2716,5281,1634,0,1199,898,0,155,110,157,350,23,211,0,0,0,0,0,17,0,0,0
313,A_09774,89033,67187,14144,0,36911,3400,6264,2114,0,1010,1158,0,231,207,222,450,50,280,0,0,0,0,0,26,0,0,0
314,A_09775,118377,91930,24680,0,41905,6957,9731,3087,0,654,1717,0,326,278,274,620,73,244,0,0,0,0,0,87,0,0,0
315,A_09776,57087,44777,10521,0,21460,4246,4935,1532,0,262,335,0,178,153,115,387,30,160,0,0,0,0,0,24,0,0,0
316,A_09777,100813,80250,14010,0,45864,5398,8403,2000,0,603,923,0,214,196,185,579,37,975,0,0,0,0,0,24,0,0,0
317,A_09778,102593,80792,12805,0,48041,4588,7744,2113,0,803,1352,0,227,397,226,690,87,440,0,0,0,0,0,43,0,0,0
318,A_09779,98600,78212,18394,0,44030,4014,5641,1962,0,729,985,0,204,166,240,525,49,332,0,0,0,0,0,45,0,0,0
319,A_09780,113629,91416,16316,0,51748,6876,9622,2249,0,933,707,0,297,241,238,806,43,427,0,0,0,0,0,24,0,0,0
320,A_10041,260245,201294,64545,53068,0,14399,15206,40711,0,0,3621,0,1622,0,0,3520,0,0,0,0,0,0,0,268,0,0,0
321,A_10042,83353,66867,21411,22108,0,3512,4991,10265,0,0,1039,0,381,0,0,1189,0,0,0,0,0,0,0,54,0,0,0
322,A_10043,114678,90452,32461,24369,0,4314,5534,17071,0,0,1708,0,640,0,0,1880,0,0,0,0,0,0,0,64,0,0,0
323,A_10044,162766,130215,41538,39559,0,6572,9882,23853,0,0,2250,0,769,0,0,2224,0,0,0,0,0,0,0,161,0,0,0
324,A_10045,120928,97420,30871,29256,0,5906,7817,15649,0,0,1887,0,600,0,0,2853,0,0,0,0,0,0,0,92,0,0,0
325,A_10046,76508,63841,20375,22707,0,2786,3758,9540,0,0,954,0,325,0,0,1336,0,0,0,0,0,0,0,47,0,0,0
326,A_11000,2438902,1887397,637674,408715,0,254546,152157,303630,0,9947,29070,0,35119,0,8620,0,3494,0,0,0,0,2914,0,1254,7873,1623,0
327,A_12051,63725,43575,16946,8020,0,1903,2234,11700,0,0,1112,0,446,0,0,0,0,0,0,0,0,0,210,124,0,0,0
328,A_12052,87624,63049,24529,10919,0,3287,3942,17113,0,0,1621,0,537,0,0,0,0,0,0,0,0,0,331,178,0,0,0
