,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,pds,rep,graue,tierschutz,npd,oedp,pbc,frauen,bp,familie,cm,bueso,hp,violetten,aufbruch,zentrum,kpd,prg,schill
214,A_08337,116742,91295,30957,39513,0,8980,6766,784,995,132,393,214,225,522,162,0,0,68,17,0,0,0,0,0,86,301
215,A_08415,192797,157712,51464,68347,0,16892,13071,1343,1805,207,520,341,179,597,262,0,0,137,36,0,0,0,0,0,129,540
216,A_08416,141903,119046,38896,43718,0,21577,8292,1877,1536,129,351,199,247,503,177,0,0,100,20,0,0,0,0,0,92,291
217,A_08417,139384,110648,33856,53809,0,7702,8377,726,1971,267,465,344,126,789,159,0,0,101,15,0,0,0,0,0,121,299
218,A_08421,77998,63120,22398,24402,0,8752,4326,818,446,84,284,170,124,125,84,0,0,49,15,0,0,0,0,0,78,226
219,A_08425,132764,110706,31500,55404,0,10113,7403,708,1423,125,493,312,319,469,179,0,0,133,39,0,0,0,0,0,177,454
220,A_08426,134749,110112,25726,60049,0,9883,7150,644,1977,144,473,583,539,258,229,0,0,197,39,0,0,0,0,0,114,295
221,A_08435,144978,119076,35724,53668,0,14149,9599,942,725,174,594,305,539,396,177,0,0,111,21,0,0,0,0,0,128,385
222,A_08436,192808,156009,40609,78221,0,17735,10103,1110,1537,229,706,427,1409,701,279,0,0,222,34,0,0,0,0,0,156,460
223,A_08437,94872,76222,18676,42028,0,5701,5224,558,1157,140,319,208,138,264,134,0,0,105,15,0,0,0,0,0,98,234
224,A_09161,84026,63122,17800,0,35728,4452,2615,494,405,44,167,120,273,79,43,67,0,27,8,0,0,31,0,0,0,134
225,A_09162,837846,673010,198645,0,298809,107853,41228,8526,2553,1007,2937,1087,1895,397,642,799,0,309,349,0,0,733,0,0,0,1722
226,A_09163,41119,31189,7374,0,18225,2545,1508,225,529,63,115,25,152,32,28,76,0,16,20,0,0,15,0,0,0,42
227,A_09171,82275,66368,12787,0,45372,3122,2309,358,717,48,182,159,241,39,61,96,0,59,34,0,0,33,0,0,0,143
228,A_09172,72637,58729,10838,0,39604,3793,2089,322,534,50,190,89,223,138,56,78,0,59,35,0,0,29,0,0,0,121
229,A_09173,86272,72583,12639,0,48806,5774,3081,419,190,120,194,115,318,45,61,118,0,42,10,0,0,52,0,0,0,117
230,A_09174,93294,78076,17140,0,48261,6191,3568,464,535,86,279,95,292,55,82,102,0,41,18,0,0,65,0,0,0,156
231,A_09175,87477,75626,17501,0,43871,7753,4111,540,285,76,282,91,242,38,87,118,0,44,21,0,0,42,0,0,0,154
232,A_09176,88705,75732,18969,0,48004,3855,2313,407,395,42,166,136,400,73,77,92,0,42,10,0,0,36,0,0,0,127
233,A_09177,85962,71176,14014,0,46334,4874,2982,502,808,60,208,67,481,21,76,130,0,37,11,0,0,26,0,0,0,136
