,teryt_code,eligible_voters,issued_ballots,cdu,spd,csu,gruene,pds,fdp,rep,tierschutz,graue,npd,frauen,oedp,pbc,cm,bp,bueso,zentrum,familie,deutschland,unabhaengige,aufbruch,dkp,dp,psg
258,A_09186,85211,32760,0,4170,20251,3012,253,1323,767,236,166,88,107,1074,83,55,404,15,21,183,107,54,48,25,37,16
259,A_09187,178572,75247,0,7691,46277,8344,465,2827,2426,695,420,161,232,2278,129,166,1064,115,64,447,279,200,127,55,111,30
260,A_09188,93875,45995,0,5734,24345,8284,287,3419,376,482,271,115,122,1026,48,41,400,29,21,218,133,100,94,23,68,18
261,A_09189,128468,51868,0,5800,32125,5379,333,1789,1022,488,305,201,131,1476,147,134,994,52,34,262,177,126,79,34,61,15
262,A_09190,96368,38685,0,4993,22311,4527,310,1524,716,357,211,106,107,1610,95,72,578,19,41,227,147,123,71,24,118,17
263,A_09261,45571,19626,0,2511,11233,2421,173,791,359,267,129,87,83,533,31,34,219,11,17,116,121,50,25,31,38,10
264,A_09262,38613,13800,0,1792,7280,1633,127,848,343,109,73,38,38,1082,21,14,108,3,5,54,63,12,19,6,19,5
265,A_09263,34081,10518,0,1225,6591,588,86,310,267,115,63,98,29,715,28,12,109,4,4,45,50,25,14,3,15,3
266,A_09271,89363,27494,0,3194,17661,1717,140,856,1150,212,135,225,110,777,61,73,413,14,24,151,147,36,29,13,48,13
267,A_09272,64047,16285,0,1821,10518,749,87,488,492,110,89,82,52,929,41,30,387,3,16,72,83,21,19,7,33,4
268,A_09273,84079,37120,0,5082,23498,2334,196,1175,777,300,116,197,147,1319,49,59,495,17,26,239,161,52,41,20,53,13
269,A_09274,110627,42547,0,4065,28134,3211,255,1608,883,432,169,240,146,1324,53,83,734,20,36,315,204,68,74,29,55,21
270,A_09275,145556,45365,0,5526,29740,2463,247,1403,861,384,224,178,157,2144,62,99,548,25,37,279,232,64,54,23,62,23
271,A_09276,63851,16864,0,2012,10842,771,89,497,557,119,97,114,52,885,22,23,318,5,10,93,80,30,20,15,39,11
272,A_09277,91254,29141,0,2809,20074,1676,163,821,524,208,123,234,77,1096,17,78,464,51,19,156,132,36,35,13,38,11
273,A_09278,73854,28544,0,2324,19529,949,115,851,609,207,111,300,99,2290,21,35,437,7,23,124,97,36,31,15,35,9
274,A_09279,69560,24392,0,2636,16195,1125,126,640,790,180,96,170,84,1225,31,33,354,13,16,129,96,43,43,11,41,9
