"JKV_TÍPUS","SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","MEGYEKÓD","MEGYE","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_BÉLYEGZÉS_NÉLKÜLI","URNÁBAN_LEBÉLYEGZETT","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA","SZAVAZAT"
,"01002013T",31558,,,,,,,,,,,,,"FIDESZ-KDNP",177
,"01002013T",31558,,,,,,,,,,,,,"EGYÜTT-PM",70
,"01002013T",31558,,,,,,,,,,,,,"LMP",40
,"01002013T",31558,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",36
,"01002013T",31558,,,,,,,,,,,,,"MSZP",29
,"01002013T",31558,,,,,,,,,,,,,"JOBBIK",18
,"01002013T",31558,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"01002013T",31558,,,,,,,,,,,,,"SMS",1
"Belföldi","01002014F",31377,"01","BUDAPEST","002","Budapest II.ker.",14,836,419,0,419,0,2,417,,
,"01002014T",31377,,,,,,,,,,,,,"FIDESZ-KDNP",194
,"01002014T",31377,,,,,,,,,,,,,"EGYÜTT-PM",79
,"01002014T",31377,,,,,,,,,,,,,"MSZP",50
,"01002014T",31377,,,,,,,,,,,,,"LMP",35
,"01002014T",31377,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",35
,"01002014T",31377,,,,,,,,,,,,,"JOBBIK",22
,"01002014T",31377,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"01002014T",31377,,,,,,,,,,,,,"SMS",0
"Belföldi","01002015F",31559,"01","BUDAPEST","002","Budapest II.ker.",15,857,491,0,490,-1,0,490,,
,"01002015T",31559,,,,,,,,,,,,,"FIDESZ-KDNP",264
,"01002015T",31559,,,,,,,,,,,,,"EGYÜTT-PM",74
,"01002015T",31559,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",62
