ci|tid| sid|        li|list_name                                                                                   |votes
01|002|0013|         3|MUNKÁSPÁRT                                                                                  |         3
01|002|0013|         4|MSZP                                                                                        |       162
01|002|0013|         5|SZDSZ                                                                                       |        67
01|002|0013|         6|MIÉP                                                                                        |        39
01|002|0013|         7|FIDESZ MDF                                                                                  |       243
01|002|0014|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|002|0014|         2|CENTRUM                                                                                     |        14
01|002|0014|         3|MUNKÁSPÁRT                                                                                  |        17
01|002|0014|         4|MSZP                                                                                        |       181
01|002|0014|         5|SZDSZ                                                                                       |        55
01|002|0014|         6|MIÉP                                                                                        |        49
01|002|0014|         7|FIDESZ MDF                                                                                  |       180
01|002|0015|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|002|0015|         2|CENTRUM                                                                                     |        21
01|002|0015|         3|MUNKÁSPÁRT                                                                                  |         5
01|002|0015|         4|MSZP                                                                                        |       158
01|002|0015|         5|SZDSZ                                                                                       |        50
01|002|0015|         6|MIÉP                                                                                        |        52
01|002|0015|         7|FIDESZ MDF                                                                                  |       215
01|002|0016|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         3
01|002|0016|         2|CENTRUM                                                                                     |        39
01|002|0016|         3|MUNKÁSPÁRT                                                                                  |         6
01|002|0016|         4|MSZP                                                                                        |       132
01|002|0016|         5|SZDSZ                                                                                       |        87
01|002|0016|         6|MIÉP                                                                                        |        53
01|002|0016|         7|FIDESZ MDF                                                                                  |       215
01|002|0017|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         2
01|002|0017|         2|CENTRUM                                                                                     |        34
01|002|0017|         3|MUNKÁSPÁRT                                                                                  |         7
01|002|0017|         4|MSZP                                                                                        |       240
01|002|0017|         5|SZDSZ                                                                                       |        97
01|002|0017|         6|MIÉP                                                                                        |        64
