"SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","'LISTÁS'","MEGYEKÓD","MEGYE","OEVK","SZÉKHELY","SZH_KER","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_LEVŐ","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA_TÍPUS","LISTA","SZAVAZAT","NEMZ_VÁLASZTÓPOLGÁR","NEMZ_MEGJELENTEK","NEMZ_URNÁBAN_LÉVŐ","NEMZ_ELTÉRÉS","NEMZ_ÉRVÉNYTELEN"
"01001010T",227685,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",8,,,,,
"01001010T",227685,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"01001011F",227687,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","011",889,742,741,0,5,736,,,,,,,,
"01001011T",227687,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",335,,,,,
"01001011T",227687,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",314,,,,,
"01001011T",227687,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",59,,,,,
"01001011T",227687,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",18,,,,,
"01001011T",227687,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",7,,,,,
"01001011T",227687,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",2,,,,,
"01001011T",227687,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT",1,2,1,1,0,0
"01001011T",227687,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",0,1,1,0,-1,0
"01001012F",227689,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","012",940,753,753,0,8,745,,,,,,,,
