,teryt_code,eligible_voters,issued_ballots,PATRIOTYCZNY,PPP,LPR,PD,SD,PIS,SLD,PO,PPN,PSL,CENTRUM,PKM,OKO,GIP,SAMOOBRONA,IRP,DO,NOP,SPRACY,SR,MN,MNS
253,T_2263,78500,33017,253,175,2724,631,2190,8491,5164,7524,131,1106,88,559,90,0,2743,0,169,50,0,0,0,0
254,T_2298,54,54,0,0,1,5,1,5,1,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0
255,T_2402,116508,53427,321,364,4434,957,1532,20432,3822,13083,90,2322,0,820,249,0,3012,0,0,0,0,0,0,0
256,T_2403,134080,53678,365,531,3935,1572,3136,15242,7753,12566,91,1341,0,912,300,0,3770,0,0,0,0,0,0,0
257,T_2410,80472,35404,246,230,2248,675,949,12931,2081,10533,55,1183,0,444,111,0,2586,0,0,0,0,0,0,0
258,T_2417,116891,51363,301,324,4573,1886,1319,17620,3476,10747,187,2823,0,622,315,0,4381,0,0,0,0,0,0,0
259,T_2461,141589,67875,526,411,4715,2235,3106,23755,6208,19966,120,927,0,1186,165,0,2873,0,0,0,0,0,0,0
260,T_2404,106407,37886,384,336,1937,492,1302,8071,3741,6186,150,4104,0,489,0,90,8741,94,0,0,0,0,0,0
261,T_2406,67365,23284,150,155,1375,280,995,5877,1857,3233,46,3564,0,293,0,43,4266,58,0,0,0,0,0,0
262,T_2407,60705,23587,154,183,1773,342,491,6696,1485,7263,45,703,0,269,0,40,3157,30,0,0,0,0,0,0
263,T_2409,58155,20742,238,172,1125,627,1189,5271,1998,4918,59,716,0,265,0,40,3138,49,0,0,0,0,0,0
264,T_2464,199876,84715,1003,883,4938,2133,4707,24794,10459,23797,389,1363,0,1682,0,262,5839,182,0,0,0,0,0,0
265,T_2405,92224,33213,308,237,1808,389,901,8520,2779,10841,89,1242,0,479,0,86,2689,41,0,0,0,0,0,1384
266,T_2413,112458,44360,238,335,2740,691,975,14050,3730,13882,116,1397,0,642,0,105,2584,44,0,0,0,0,0,1291
