,teryt_code,eligible_voters,issued_ballots,PPP,LPR,PIS,PO,PSL,SAMOOBRONA,MN,LID,PK,SPATRIOTYCZNA
336,T_3022,47305,22831,269,300,4421,9112,3246,580,0,4018,0,0
337,T_3061,86146,50783,454,571,13447,21934,2448,396,0,10671,0,0
338,T_3063,50769,30887,225,616,5793,16359,1020,218,0,6090,0,0
339,T_3003,112122,62160,811,746,15197,22862,4995,997,0,14915,0,0
340,T_3009,71184,32495,494,348,10609,7424,7443,1057,0,3970,0,0
341,T_3010,95498,41953,755,694,14933,9791,6707,1514,0,5847,0,0
342,T_3023,46939,22159,351,215,5610,5410,5830,575,0,3370,0,0
343,T_3025,43116,22558,417,522,4932,8814,2857,439,0,3793,0,0
344,T_3026,46359,24580,423,206,5301,10047,3203,534,0,4148,0,0
345,T_3027,66041,31295,494,322,11626,9625,3234,831,0,4354,0,0
346,T_3030,58730,31220,470,686,7532,11780,4561,693,0,4553,0,0
347,T_3062,64438,38480,489,368,11290,15969,2323,393,0,6946,0,0
348,T_3001,36947,19989,178,168,3696,8333,2803,331,0,3851,0,0
349,T_3002,67939,33976,316,349,8056,14727,3108,735,0,5489,0,0
350,T_3005,37675,18221,194,208,4134,6328,3224,443,0,2987,0,0
351,T_3014,28474,13917,147,124,2521,5499,1773,231,0,3164,0,0
352,T_3015,55754,28982,282,307,6031,12527,4490,532,0,3878,0,0
353,T_3016,43960,23207,210,176,4489,9204,3681,367,0,4314,0,0
354,T_3019,106833,59650,484,490,13661,26403,4968,1057,0,10917,0,0
355,T_3024,69541,36067,352,423,7007,15694,3819,644,0,6907,0,0
356,T_3028,52756,26366,204,226,5118,8337,3550,822,0,7287,0,0
357,T_3029,42364,22179,177,185,4253,7610,3216,375,0,5489,0,0
358,T_3031,53994,26197,212,233,5904,10374,3074,815,0,4677,0,0
359,T_3021,231220,143342,1181,1431,30216,79040,11295,1230,0,15975,0,0
360,T_3064,450733,311382,1873,3008,63971,183282,13088,1454,0,40572,0,0
361,T_3201,38326,17020,167,164,3791,7265,1008,679,0,3336,0,0
362,T_3202,40451,16901,189,171,3088,6282,3301,998,0,2354,0,0
363,T_3203,47359,21526,319,234,4362,9171,1927,1144,0,3559,0,0
364,T_3208,62684,34047,396,243,8201,16080,1851,854,0,5587,0,0
365,T_3209,50375,22960,274,273,4520,9765,2916,1221,0,3174,0,0
