,teryt_code,eligible_voters,issued_ballots,KE,LEWICA,POLEXIT,JEDNOSC,PIS,EC,WIOSNA,KONFEDERACJA,KUKIZ15,GWIAZDOWSKI
56,T_0604,53634,19565,4591,130,0,0,12408,0,486,608,992,94
57,T_0605,37690,18319,2432,88,0,0,14047,0,230,728,511,73
58,T_0606,53806,21131,5166,153,0,0,13056,0,667,881,787,125
59,T_0607,77717,33630,7821,259,0,0,21712,0,786,1248,1184,176
60,T_0608,71112,30639,6826,207,0,0,19676,0,891,1386,1041,252
61,T_0609,122059,55493,14685,331,0,0,33182,0,1461,2694,2109,446
62,T_0610,44753,18394,4309,113,0,0,11397,0,526,992,714,143
63,T_0611,84224,36148,6168,263,0,0,25558,0,758,1415,1258,210
64,T_0612,49181,19284,4376,113,0,0,12225,0,501,714,995,109
65,T_0613,28781,11643,2978,82,0,0,6986,0,290,518,561,69
66,T_0614,93941,43380,12833,403,0,0,23772,0,1832,2037,1637,376
67,T_0615,48233,19992,3960,107,0,0,13628,0,415,823,648,178
68,T_0616,45540,20070,4932,162,0,0,12277,0,788,753,833,101
69,T_0617,57430,25753,7263,234,0,0,14492,0,933,1531,881,171
70,T_0618,69666,27464,5639,174,0,0,17817,0,628,968,1752,131
71,T_0619,32356,13038,4211,111,0,0,7066,0,438,488,445,81
72,T_0620,88836,36411,6394,203,0,0,25076,0,848,1251,2005,174
73,T_0661,45553,21005,8490,101,0,0,10090,0,536,974,569,119
74,T_0662,51246,22176,8235,151,0,0,10580,0,986,968,921,123
75,T_0663,262001,135603,57378,1179,0,0,57754,0,5734,6956,4504,1257
76,T_0664,51665,22754,7696,165,0,0,11188,0,923,871,1587,131
77,T_0801,54824,21749,9744,253,0,0,8414,0,1634,847,633,0
78,T_0802,43457,15557,7266,188,0,0,5548,0,1131,624,624,0
79,T_0803,46260,17853,8383,212,0,0,6576,0,1202,638,604,0
80,T_0804,66826,26489,11766,249,0,0,10860,0,1563,1002,831,0
81,T_0805,36204,13341,6506,135,0,0,4689,0,946,492,402,0
82,T_0806,38965,13808,6046,160,0,0,5866,0,783,430,371,0
83,T_0807,27628,9959,4016,125,0,0,4380,0,627,394,294,0
84,T_0808,43517,16918,7626,244,0,0,6478,0,1124,731,582,0
85,T_0809,59117,23339,11184,298,0,0,8144,0,1755,929,788,0
86,T_0810,62005,22416,9671,268,0,0,9410,0,1395,807,693,0
87,T_0811,75590,27797,12065,387,0,0,10577,0,2135,1231,1178,0
88,T_0812,30535,10978,3786,141,0,0,5538,0,641,419,326,0
89,T_0861,93916,43841,21935,509,0,0,14986,0,3292,1762,1127,0
90,T_0862,106022,55055,31220,521,0,0,14836,0,4574,2007,1648,0
91,T_1001,90030,40850,9141,774,0,0,24673,0,1620,2709,1581,0
92,T_1002,79598,32344,10699,629,0,0,16799,0,1621,1133,1110,0
93,T_1003,40817,17890,5554,316,0,0,9490,0,997,739,627,0
94,T_1004,42065,15892,4409,332,0,0,9267,0,622,575,500,0
95,T_1005,64271,27787,7958,411,0,0,15763,0,983,1068,1311,0
96,T_1006,56691,28862,10836,548,0,0,13315,0,1558,1303,1112,0
97,T_1007,61767,28968,5422,497,0,0,19807,0,771,1071,1120,0
98,T_1008,94580,46604,19441,855,0,0,18682,0,3462,2062,1737,0
99,T_1009,42236,17948,3515,281,0,0,11570,0,656,668,1073,0
100,T_1010,73206,31947,6124,529,0,0,21499,0,997,1263,1239,0
101,T_1011,33783,13708,3974,278,0,0,7810,0,550,487,451,0
102,T_1012,92131,37434,10454,652,0,0,20811,0,2343,1329,1493,0
103,T_1013,39058,16351,3914,331,0,0,9890,0,553,915,572,0
104,T_1014,95547,40888,11533,844,0,0,23017,0,1930,1722,1391,0
105,T_1015,30600,13236,2371,272,0,0,8986,0,422,531,501,0
106,T_1016,92725,41780,13149,840,0,0,22295,0,1961,1565,1574,0
107,T_1017,62056,26897,7699,567,0,0,15102,0,1354,892,1006,0
108,T_1018,33942,13787,3660,234,0,0,7857,0,672,601,590,0
109,T_1019,52568,23520,7864,387,0,0,11915,0,1345,1001,829,0
110,T_1020,131388,63314,26580,1286,0,0,26388,0,3911,2479,2210,0
111,T_1021,24720,10852,3125,220,0,0,6039,0,496,407,454,0
112,T_1061,530752,283038,151976,5775,0,0,85179,0,19212,11281,8104,0
113,T_1062,58353,27650,10586,588,0,0,12346,0,1572,1253,1121,0
114,T_1063,37368,18444,7636,403,0,0,7546,0,1088,845,770,0
115,T_1201,83202,40789,7616,282,125,0,27731,0,1282,1586,1531,272
116,T_1202,73688,33667,5966,200,126,0,22980,0,838,1689,1316,210
117,T_1203,99359,46265,15673,602,219,0,21719,0,3080,1942,2218,407
118,T_1204,47614,19763,2930,138,50,0,14551,0,353,752,679,91
119,T_1205,87066,38723,7359,267,105,0,25210,0,1074,1386,2500,469
120,T_1206,216135,107202,31224,1012,374,0,57461,0,5524,5043,4695,971
121,T_1207,100107,48672,5724,271,115,0,37668,0,852,1660,1638,255
122,T_1208,40194,17109,3582,172,59,0,11051,0,665,645,648,98
123,T_1209,98151,48750,9104,357,135,0,32617,0,1571,2046,2068,403
124,T_1210,166820,84118,11202,447,247,0,63539,0,1729,2937,2761,431
125,T_1211,150235,63153,10901,454,256,0,43871,0,1610,2590,2405,361
126,T_1212,90184,42211,11128,1878,144,0,22436,0,2177,1734,1981,357
