,teryt_code,eligible_voters,issued_ballots,PIS,PO,RAZEM,KORWIN,PSL,LEWICA,KUKIZ,NOWOCZESNA,BEZPARTYJNI,STONOGA,RSRP,ZDŚ,SAMOOBRONA,BRAUN,PRAWICA,MN,ODP
153,T_1417,96343,58476,24999,11964,2108,2609,3051,2860,4550,4767,0,395,0,0,0,0,0,0,0
154,T_1418,130834,81297,26306,21690,3055,3682,3601,4848,5392,10931,0,494,0,0,0,0,0,0,0
155,T_1419,88283,39649,17303,4187,1165,1371,6683,2548,3096,1616,0,0,0,0,0,0,0,0,0
156,T_1420,71139,29081,12520,4125,924,1126,3317,2051,2383,1494,0,0,0,0,0,0,0,0,0
157,T_1421,124123,79345,27817,21125,3267,3924,2169,4735,5353,9269,0,547,0,0,0,0,0,0,0
158,T_1422,42235,18215,9073,2542,397,631,1820,967,1515,596,0,0,0,0,0,0,0,0,0
159,T_1423,35354,17539,8402,1152,257,640,4460,464,928,364,0,178,0,0,0,0,27,0,0
160,T_1424,41280,20689,9249,1835,456,602,4928,819,1395,592,34,0,21,0,0,31,0,0,0
161,T_1425,119355,57321,30143,7431,1353,2049,4422,2180,4799,2356,0,472,0,0,0,0,176,0,0
162,T_1426,64930,32324,17514,2476,652,1625,3995,918,2807,1118,89,0,40,0,0,150,0,0,0
163,T_1427,42598,18052,8237,2106,582,682,2177,1528,1234,754,0,0,0,0,0,0,0,0,0
164,T_1428,67714,33330,14718,4686,1209,1348,4145,1909,2542,1990,0,0,0,0,0,0,0,0,0
165,T_1429,45682,23998,12326,2251,511,820,3490,931,1846,980,69,0,60,0,0,79,0,0,0
166,T_1430,32350,14733,7670,2263,388,509,979,560,1151,434,0,83,0,0,0,0,39,0,0
