,teryt_code,eligible_voters,issued_ballots,Grabowski,Ikonowicz,Kalinowski,KorwinMikke,Krzaklewski,Kwasniewski,Lepper,Lopuszanski,Olechowski,Pawlowski,Walesa,Wilecki
48,T_0419,52712,34440,146,65,2495,242,2481,23534,1519,291,2968,27,242,51
49,T_0461,292721,197892,1053,432,2637,3330,28940,119319,2271,1774,34135,149,2035,332
50,T_0462,78236,49282,191,88,636,524,4738,33766,894,238,7266,33,441,73
51,T_0463,158545,103361,510,213,1543,1801,16458,55489,1428,796,23017,77,1132,155
52,T_0464,95511,62232,291,226,1054,736,6136,42277,1062,258,8881,59,559,75
53,T_0601,87520,49902,208,143,9432,360,7643,21723,3867,450,4716,59,478,137
54,T_0602,78920,46975,246,85,11874,445,7933,16722,3406,430,4746,51,336,159
55,T_0603,57057,28715,120,59,4658,186,3347,14684,2692,122,2102,26,184,83
56,T_0604,57322,31271,142,52,6567,196,4320,14806,2287,172,2079,25,218,69
57,T_0605,37548,23024,78,27,7645,201,5449,5718,1465,209,1684,39,154,57
58,T_0606,62688,34986,162,65,8019,324,3925,15864,2754,154,2895,26,258,67
59,T_0607,78963,46310,215,113,9230,475,7362,19784,2617,313,5041,64,341,106
60,T_0608,69124,40936,291,98,7943,439,5609,18334,2745,438,3971,57,316,77
61,T_0609,99868,55763,216,95,15753,577,7768,20086,4193,518,5270,47,359,128
62,T_0610,40466,22691,124,38,3247,261,2855,11446,1611,209,2425,29,132,56
63,T_0611,81076,46720,238,93,9855,417,6236,20513,3516,375,4256,88,371,66
64,T_0612,50097,27604,117,63,7738,279,2664,12013,1747,148,2122,31,213,51
65,T_0613,29306,17189,70,26,3745,123,2289,7788,1087,143,1542,19,95,38
66,T_0614,93666,55568,428,161,6666,987,8535,25154,2393,738,9166,84,489,114
67,T_0615,47716,28275,154,40,7696,230,3880,10976,2034,316,2310,25,186,53
68,T_0616,47308,28366,152,75,4726,294,2709,15136,1534,248,2817,44,203,60
69,T_0617,56595,32453,239,97,3657,653,5386,14495,1700,407,5037,60,289,89
70,T_0618,70249,40093,161,67,10217,358,5509,17301,2677,307,2590,28,291,69
71,T_0619,32267,18507,117,40,2859,190,2519,9237,1143,125,1833,20,114,39
