,teryt_code,eligible_voters,issued_ballots,SLDUP,AWSP,UW,SAMOOBRONA,PIS,PSL,PO,ARS,PWN,LPR,MN,PUG,PPS,NMNGSL
252,T_2402,110265,57957,19751,5295,1734,4556,7909,3444,6741,231,0,5652,0,90,0,0
253,T_2403,129284,65651,32286,4472,2318,4941,4165,2472,7407,195,0,4554,0,130,0,0
254,T_2410,75250,37348,10945,2871,1161,3379,3273,2707,6915,199,0,4361,0,41,0,0
255,T_2417,113144,54965,15854,9162,1705,4411,3802,5115,6674,249,0,4625,0,279,0,0
256,T_2461,138643,73377,27389,6504,3606,4653,8215,1928,10523,257,0,8074,0,115,0,0
257,T_2404,103113,46170,21158,2166,761,5902,2298,6140,2810,233,0,1809,0,0,128,0
258,T_2406,65376,30779,14365,1451,470,5108,1287,3197,1828,104,0,1160,0,0,166,0
259,T_2407,58708,25764,7424,1568,532,3102,1518,1119,6724,85,0,2184,0,0,64,0
260,T_2409,56942,24137,12207,1110,338,2603,1456,2099,1958,97,0,1114,0,0,57,0
261,T_2464,198519,99206,46618,8843,3038,6248,10522,2891,12010,380,0,5587,0,0,377,0
262,T_2405,91708,35787,12652,2991,1296,2748,2863,1628,5047,237,0,1921,0,0,45,2587
263,T_2413,110209,46998,16023,7435,2149,3205,4490,1172,6710,262,0,2416,0,0,29,1534
264,T_2462,157821,56633,26808,3485,2605,3029,5523,1570,6918,318,0,3001,0,0,244,1376
265,T_2466,161204,72346,31473,4605,5210,3722,7857,1565,10024,305,0,4463,0,0,66,1394
266,T_2478,154007,53190,26850,3114,2412,2909,4413,1774,6224,273,0,2239,0,0,64,1133
267,T_2408,69019,32367,9947,2243,1383,1916,3480,1451,7546,300,0,2523,174,179,0,0
268,T_2411,89713,29550,10357,1281,1016,1993,1795,1224,5715,175,0,1194,3475,35,0,0
269,T_2412,54982,23786,7972,2492,906,1761,2456,702,4471,231,0,1223,266,61,0,0
270,T_2415,120256,53196,20036,4297,2508,3987,3927,3158,9183,399,0,2833,408,155,0,0
271,T_2467,75357,34542,17227,3170,936,2370,2310,1010,3681,263,0,2315,134,52,0,0
272,T_2473,109615,48680,18748,3056,2177,3017,6746,1527,8068,417,0,2813,362,98,0,0
273,T_2479,48912,21367,9686,1137,972,1572,1767,646,3552,139,0,1070,71,37,0,0
274,T_2414,40952,19295,5808,3175,1304,1523,2582,667,3055,240,0,0,0,0,0,0
275,T_2463,95268,38201,17532,4750,1282,1748,4551,446,6179,384,0,0,0,0,0,0
276,T_2469,260942,127373,54130,16019,7306,6339,15378,2473,21307,987,0,0,0,0,0,0
277,T_2470,58544,27300,12931,3866,818,1537,3039,521,3492,249,0,0,0,0,0,0
278,T_2471,48505,20270,7406,2746,572,1069,4767,270,2308,108,0,0,0,0,0,0
279,T_2472,117053,47968,21409,7631,1546,2522,4347,714,7338,702,0,0,0,0,0,0
280,T_2474,59639,25008,11917,2356,901,1289,2419,356,4692,186,0,0,0,0,0,0
281,T_2476,45061,16962,8050,1970,469,858,1398,223,3073,256,0,0,0,0,0,0
282,T_2477,104061,50337,21163,5436,2338,3077,6249,1562,7612,608,0,0,0,0,0,0
283,T_2401,120025,57742,35663,2695,1780,4153,3145,1891,4721,306,0,1526,0,0,147,0
