,teryt_code,eligible_voters,issued_ballots,Bartoszewicz,Biejat,Braun,Holownia,Jakubiak,Maciak,Mentzen,Nawrocki,Senyszyn,Stanowski,Trzaskowski,Woch,Zandberg
202,T_1810,62264,43116,232,848,4514,1880,408,99,8367,18840,285,405,5833,31,1233
203,T_1811,101810,66845,323,1464,6341,2644,577,132,11485,28751,572,656,11582,49,2061
204,T_1812,49986,30846,149,556,3263,908,211,45,5621,14751,169,232,3958,22,823
205,T_1813,56110,35132,146,667,3564,1145,258,113,6812,15779,201,271,5173,37,787
206,T_1814,59787,38710,140,710,3667,1296,313,72,7562,17738,236,298,5478,17,1040
207,T_1815,56824,38717,184,606,3970,1227,351,73,7561,18976,245,322,4018,27,1002
208,T_1816,132203,93209,523,1789,9629,3809,858,162,17824,40458,699,1186,12812,84,3016
209,T_1817,69947,42777,160,1118,3942,1677,338,96,6845,17137,312,430,9364,33,1182
210,T_1818,77291,48775,229,1216,4220,1694,332,93,7722,20701,340,497,10061,37,1465
211,T_1819,46657,29765,124,520,3392,1091,307,50,5701,13461,181,278,3616,21,891
212,T_1820,40808,25719,99,582,2390,898,195,57,4816,11394,156,240,3976,23,780
213,T_1821,22104,13966,72,355,1130,588,89,39,2447,5458,100,126,3175,8,316
214,T_1861,33843,22394,129,658,1726,1081,208,46,2882,7709,187,227,6726,19,735
215,T_1862,43007,26506,127,834,2040,1093,207,67,3427,8978,212,260,8379,26,767
216,T_1863,152512,110528,634,4109,7503,6677,1124,186,18252,30018,1366,1835,32316,136,5996
217,T_1864,33502,21371,85,827,1445,903,139,27,2717,6810,166,261,7214,20,661
218,T_2001,42853,26041,228,657,2092,1314,217,84,4843,9645,185,274,5618,21,736
219,T_2002,120900,82063,514,2268,6244,5393,742,255,14551,28342,773,1137,18561,52,2861
220,T_2003,40368,24139,130,764,1960,1431,139,155,3921,8789,205,195,5690,10,644
221,T_2004,34037,19337,100,383,1788,806,145,40,3291,8363,115,164,3535,7,487
222,T_2005,33687,19540,142,973,1638,1523,126,225,3548,3637,250,207,6477,22,678
223,T_2006,28328,16623,61,284,1667,511,124,23,3034,8094,79,101,2202,7,339
224,T_2007,38899,24462,118,404,2474,744,246,46,4679,11916,117,190,2831,9,577
225,T_2008,29861,17076,87,315,1706,778,104,31,3357,7323,109,151,2579,18,446
226,T_2009,14994,8247,81,299,716,494,60,23,1471,2440,60,61,2239,6,242
227,T_2010,32769,19039,110,558,1882,915,138,104,2990,7263,142,150,4222,14,468
228,T_2011,49392,29182,205,603,2243,1651,192,91,5328,11987,196,256,5457,25,813
229,T_2012,27050,16715,282,451,1749,688,121,38,3364,6238,143,150,2968,10,447
230,T_2013,42133,28161,132,364,2549,883,235,40,5513,14359,151,231,3006,22,540
231,T_2014,32707,20752,68,371,1508,853,185,30,3869,9329,133,209,3558,11,509
232,T_2061,213477,150782,815,5884,8717,11609,1286,485,22378,41154,1854,2406,44987,133,8499
233,T_2062,43349,28213,149,730,1902,1193,220,39,4244,11006,195,310,7241,19,872
234,T_2063,49503,31325,588,1067,2224,1551,210,72,5106,9440,260,355,9201,13,1119
235,T_2201,57316,34863,161,1204,2159,1980,239,63,6136,10247,351,377,10703,31,1033
236,T_2202,70658,45961,197,1634,3004,2529,299,103,8117,13840,460,508,13420,45,1654
237,T_2203,41315,23953,130,1033,1535,1200,161,50,3921,5689,222,272,8805,13,784
238,T_2204,93528,66252,301,3148,3339,4269,486,118,10368,12162,919,1051,26000,59,3737
239,T_2205,107049,77651,358,2641,5153,5042,532,146,14797,22122,832,1046,21438,88,3080
240,T_2206,54287,36861,183,1145,2443,2245,237,68,6636,11267,350,412,10306,39,1345
241,T_2207,59140,35459,173,1543,2133,1658,218,54,5851,9266,313,407,12201,30,1375
242,T_2208,47166,31197,157,1206,1825,1612,228,52,4820,7310,301,346,11962,20,1192
243,T_2209,45466,27856,188,1390,1454,1572,171,42,4042,6185,260,335,10906,28,1159
244,T_2210,28106,17666,74,742,1130,886,126,22,2405,4057,187,182,7027,25,708
245,T_2211,71552,50984,291,2115,3001,3312,410,85,8114,11029,667,772,18277,32,2621
246,T_2212,72980,44620,221,1956,2750,2203,325,64,6709,10488,427,488,17141,58,1585
247,T_2213,92860,59041,298,2210,3823,3226,481,132,10401,18113,570,706,16477,56,2265
248,T_2214,82083,52408,246,2207,2686,2941,326,109,8533,13822,556,716,17499,54,2486
249,T_2215,164003,115288,594,4880,6936,7530,818,224,19173,26116,1427,1799,39226,146,5910
250,T_2216,30079,16703,86,676,895,849,78,56,2654,4362,164,196,5996,19,556
251,T_2261,372134,281947,1217,17730,9311,16580,1715,367,29180,47287,4790,4383,121757,229,26448
252,T_2262,180455,134391,630,7623,5045,7358,866,195,13246,22466,2310,1990,62516,134,9587
253,T_2263,62188,40926,209,1862,2105,1921,264,70,4549,9041,407,428,18188,34,1671
254,T_2264,27603,21105,91,1175,687,1009,118,32,1484,3572,343,269,10578,25,1647
255,T_2401,111293,73617,353,4377,3701,3520,476,136,9021,16796,911,1009,29325,69,3656
256,T_2402,126436,90515,446,3078,5178,5544,759,165,15593,26288,827,1183,27166,80,3888
257,T_2403,135243,91341,503,3199,5691,5435,688,185,15300,24669,924,1150,29625,91,3636
258,T_2404,104807,68995,359,2612,4597,3346,516,117,10615,23886,686,883,18241,69,2755
259,T_2405,85422,54703,259,2041,3649,3227,403,92,8928,14820,589,804,17080,62,2508
260,T_2406,65342,41941,191,1504,3156,2001,311,92,6766,14290,386,522,10810,33,1704
