,teryt_code,eligible_voters,issued_ballots,PO,LEWICA,TD,KONFEDERACJA,NK,POLEXIT,PLSP,PIS,RNP,BSNPWNE,GSP
314,T_2810,38236,12979,5899,490,790,1517,56,41,0,3903,0,159,0
315,T_2811,24694,7399,2644,257,409,805,38,17,0,3079,0,74,0
316,T_2812,32846,10242,3178,288,824,1143,61,26,0,4513,0,121,0
317,T_2813,24937,7151,2497,220,415,1397,30,12,0,2441,0,71,0
318,T_2814,100236,35019,16423,1876,2361,3979,191,87,0,9396,0,437,0
319,T_2815,78016,24410,11706,881,1327,2438,105,66,0,7455,0,233,0
320,T_2816,42625,12720,4325,367,839,1520,52,35,0,5315,0,144,0
321,T_2817,54086,17299,6206,690,1615,2022,71,58,0,6244,0,227,0
322,T_2818,19691,5718,2551,208,379,765,30,16,0,1675,0,55,0
323,T_2819,17343,5514,2452,306,347,605,41,9,0,1618,0,98,0
324,T_2861,85216,33216,17319,1378,1609,2737,132,98,0,9463,0,309,0
325,T_2862,123856,55312,28674,3719,3240,5312,197,105,0,13199,0,641,0
326,T_3001,35661,12928,5296,907,1283,1672,83,39,44,3354,0,105,0
327,T_3002,65201,21856,8165,1228,2263,3145,130,72,63,6443,0,164,0
328,T_3003,109229,40558,13905,4058,3202,5873,231,146,99,12412,0,316,0
329,T_3004,57451,18925,4696,1278,1649,3587,134,67,66,7097,0,174,0
330,T_3005,39093,12307,3792,605,1388,1863,81,34,57,4207,0,162,0
331,T_3006,54087,18168,5301,1020,1722,2385,119,42,36,7293,0,129,0
332,T_3007,65205,22086,4325,917,2118,3555,141,32,50,10659,0,134,0
333,T_3008,43062,15695,5045,789,1274,2326,78,41,27,5906,0,88,0
334,T_3009,66180,22556,4537,1141,1696,4316,117,28,30,10365,0,119,0
335,T_3010,102252,32978,6839,1606,2565,5246,243,70,67,15823,0,255,0
336,T_3011,59949,20813,7285,1321,1975,3133,137,60,53,6508,0,192,0
337,T_3012,57963,18909,5203,1139,1744,2771,115,38,61,7486,0,174,0
338,T_3013,45615,15197,4582,1007,1435,3004,97,34,35,4781,0,101,0
339,T_3014,28071,9253,3490,577,1067,1349,50,27,34,2493,0,75,0
340,T_3015,57134,20594,7052,1341,3029,2547,121,65,96,5596,0,582,0
341,T_3016,44062,15901,5588,1100,2456,2144,110,49,50,4138,0,116,0
342,T_3017,123210,46534,16069,2792,3572,5778,266,94,101,17274,0,288,0
343,T_3018,42755,14704,3962,615,2089,2166,71,33,34,5517,0,103,0
344,T_3019,100072,38432,15527,2809,3263,5320,251,85,77,10602,0,247,0
345,T_3020,48397,16433,4630,745,1805,2296,95,41,46,6513,0,122,0
346,T_3021,314491,149292,73464,12828,13546,17744,639,314,369,28411,0,1220,0
347,T_3022,46000,15049,4722,1038,1414,2198,121,58,46,5111,0,161,0
348,T_3023,45861,15330,3298,1061,2451,2291,88,46,44,5818,0,90,0
349,T_3024,70890,25705,10235,1691,3018,3436,149,83,65,6631,0,179,0
350,T_3025,45361,16209,5527,1219,1687,2472,102,56,50,4856,0,114,0
351,T_3026,46195,15786,5613,1330,1439,2277,108,42,55,4674,0,124,0
352,T_3027,64286,21939,4840,1202,1847,3186,128,47,55,10293,0,167,0
353,T_3028,52724,18327,6111,1586,2087,2513,166,53,74,5375,0,172,0
354,T_3029,43647,14686,4750,781,1943,2140,102,52,45,4560,0,188,0
355,T_3030,58965,21547,7321,1264,2140,3258,125,46,57,7015,0,180,0
356,T_3031,52053,17140,6381,982,1784,2374,112,56,42,5080,0,145,0
357,T_3061,72283,31207,13547,2313,2553,3404,158,52,40,8887,0,151,0
358,T_3062,53543,21849,8480,1841,1368,2431,108,30,20,7342,0,119,0
359,T_3063,45440,19026,9152,1844,1218,2382,55,29,38,4100,0,106,0
360,T_3064,386472,196803,100569,24870,14861,18834,629,305,311,34666,0,999,0
361,T_3201,34650,10605,4757,849,458,989,0,18,0,3339,0,101,0
362,T_3202,35898,11552,4354,1118,731,1098,0,26,0,4011,0,91,0
363,T_3203,42961,13491,5741,1043,943,1241,0,43,0,4232,0,131,0
364,T_3204,62819,21889,9224,1787,1424,2145,0,70,0,6785,0,238,0
365,T_3205,49436,19412,8601,1536,1457,1390,0,46,0,6094,0,152,0
366,T_3206,60683,20133,7814,1391,1072,2045,0,59,0,7414,0,185,0
367,T_3207,38716,16140,7294,1382,1116,1293,0,42,0,4767,0,143,0
368,T_3208,67497,30422,14149,3209,2137,2109,0,68,0,8338,0,207,0
369,T_3209,53990,20665,9112,1627,1236,1937,0,67,0,6244,0,252,0
370,T_3210,48614,15343,6215,1158,835,1508,0,31,0,5317,0,144,0
371,T_3211,61199,27068,13419,2525,1646,2828,0,67,0,6145,0,290,0
372,T_3212,29006,9501,3012,460,655,1078,0,24,0,4113,0,71,0
373,T_3213,45815,17913,7556,1398,1002,1557,0,51,0,6052,0,170,0
374,T_3214,89953,33797,13687,2919,2393,3266,0,92,0,10821,0,366,0
375,T_3215,57145,18888,7627,1537,828,1652,0,31,0,6904,0,156,0
376,T_3216,35477,11212,4403,976,691,984,0,39,0,3907,0,113,0
377,T_3217,39050,12926,5869,1264,807,1107,0,34,0,3586,0,139,0
378,T_3218,26600,7921,3418,409,572,702,0,14,0,2685,0,54,0
379,T_3261,78877,33683,16383,3703,1993,2670,0,97,0,8380,0,294,0
380,T_3262,280256,131154,62659,13819,7302,12149,0,294,0,33295,0,1105,0
381,T_3263,31384,14000,6578,1768,773,1244,0,36,0,3426,0,109,0
