,teryt_code,eligible_voters,issued_ballots,PO,ZER,KONFEDERACJA,PSL,PRAWICA,PIS,LIROY,SLD,BIS,MN
328,T_3003,112158,68871,17093,454,4346,5002,0,25936,0,15001,0,0
329,T_3004,59303,32909,6884,0,3212,3494,0,14569,0,4105,0,0
330,T_3005,39315,23061,6508,0,1651,2596,0,9310,0,2530,0,0
331,T_3006,55510,32446,5736,0,1779,5325,0,15289,0,3777,0,0
332,T_3007,66178,37860,5055,0,2092,5599,0,20581,0,3921,0,0
333,T_3008,44135,26904,8849,0,1457,2545,0,11459,0,2178,0,0
334,T_3009,68876,38504,5721,160,2183,3568,0,22016,0,4198,0,0
335,T_3010,102226,56997,7978,286,3025,5609,0,33095,0,5983,0,0
336,T_3011,61694,36929,9485,0,2276,5748,0,13957,0,4664,0,0
337,T_3012,59922,34384,6576,0,2164,6230,0,15190,0,3637,0,0
338,T_3013,43742,25973,6150,0,1872,3287,0,10375,0,3734,0,0
339,T_3014,28648,16317,5010,0,949,1512,0,5198,0,3330,0,0
340,T_3015,57680,35387,13770,0,2311,3709,0,11760,0,3230,0,0
341,T_3016,44951,26880,7232,0,1721,5323,0,8726,0,3453,0,0
342,T_3017,126438,77493,21992,0,5071,7809,0,32992,0,8446,0,0
343,T_3018,43596,25321,4919,0,1540,5083,0,11071,0,2296,0,0
344,T_3019,103695,62986,18258,0,4139,7728,0,22524,0,9463,0,0
345,T_3020,49158,28510,5724,0,1557,4939,0,13062,0,2691,0,0
346,T_3021,294962,212386,92417,0,13957,16600,0,56910,0,30218,0,0
347,T_3022,47250,26220,5839,0,1623,3179,0,10457,0,4586,0,0
348,T_3023,47149,26465,4237,152,1544,3563,0,13073,0,3453,0,0
349,T_3024,71547,43722,15099,0,2591,5112,0,14215,0,5876,0,0
350,T_3025,44969,27478,5695,225,3831,3088,0,10258,0,3885,0,0
351,T_3026,46973,28076,6595,267,2289,2995,0,10635,0,4799,0,0
352,T_3027,66340,38679,5030,231,2093,5461,0,21630,0,3737,0,0
353,T_3028,53762,30853,7494,0,2178,5413,0,11109,0,4111,0,0
354,T_3029,44000,26743,8345,0,1828,3318,0,9766,0,2915,0,0
355,T_3030,59698,36579,9847,254,2521,3113,0,14921,0,5486,0,0
356,T_3031,53557,28771,7980,0,1880,3778,0,10680,0,3864,0,0
357,T_3061,77042,50239,15006,0,3221,3506,0,17281,0,10815,0,0
358,T_3062,58244,36808,10099,232,1978,2221,0,15401,0,6548,0,0
359,T_3063,48134,31502,11274,0,2313,2015,0,8770,0,6824,0,0
360,T_3064,414276,306549,141057,0,20067,15275,0,73409,0,54617,0,0
361,T_3201,36444,18486,6058,0,913,1707,0,6705,0,2684,0,0
362,T_3202,37759,18176,5227,0,988,1837,0,7259,0,2418,0,0
363,T_3203,45123,22803,6564,0,1343,2453,0,8582,0,3416,0,0
364,T_3204,64455,34921,10160,0,2208,4304,0,12558,0,5076,0,0
365,T_3205,47704,24481,7670,0,1321,3243,0,9041,0,2762,0,0
366,T_3206,63395,32973,8805,0,2094,2798,0,13782,0,4919,0,0
367,T_3207,38175,20459,6684,0,1028,2411,0,7280,0,2720,0,0
368,T_3208,64724,39699,13169,0,2112,2846,0,14197,0,6741,0,0
369,T_3209,52264,28776,7963,0,1994,3340,0,10467,0,4390,0,0
370,T_3210,50617,25981,9172,0,1719,1955,0,9829,0,2896,0,0
371,T_3211,58118,38028,15680,0,2761,1899,0,11259,0,6055,0,0
372,T_3212,30631,15804,3278,0,879,1890,0,7483,0,1911,0,0
373,T_3213,44228,23677,6413,0,1355,2485,0,9224,0,3696,0,0
374,T_3214,91920,52574,16834,0,3645,4411,0,19570,0,7251,0,0
375,T_3215,59553,31345,9998,0,2089,2573,0,12757,0,3328,0,0
376,T_3216,36898,18574,4722,0,992,2215,0,7569,0,2704,0,0
377,T_3217,40467,22026,7516,0,1344,2102,0,7773,0,2942,0,0
378,T_3218,28283,13642,3734,0,708,1937,0,5408,0,1543,0,0
379,T_3261,81320,53096,20169,0,3129,4074,0,15545,0,9624,0,0
380,T_3262,296850,197677,79366,0,13324,9093,0,62998,0,31321,0,0
381,T_3263,32269,20004,6639,0,1057,866,0,5992,0,5302,0,0
