,teryt_code,eligible_voters,issued_ballots,SAMOOBRONA,NP,PO,PJN,PPP,PSL,PRAWICA,PIS,RP,SLD,MN
122,T_1261,595079,358250,0,12684,171360,7014,1438,8800,0,101889,31536,16445,0
123,T_1205,86812,39815,0,554,10249,876,183,3594,157,16765,1973,3058,0
124,T_1207,94979,46944,0,659,9561,1237,157,5071,247,24615,1441,1123,0
125,T_1210,157504,81638,0,1286,17801,1271,258,5501,483,44707,2860,2588,0
126,T_1211,144599,62695,0,1230,17430,1427,201,3160,209,30492,3039,1654,0
127,T_1217,54260,25948,0,396,9201,573,113,1183,61,11411,1383,570,0
128,T_1262,66684,38035,0,838,13567,657,89,878,173,15553,2326,2757,0
129,T_1201,80742,40280,0,0,10048,1910,149,3588,509,17420,2318,1821,0
130,T_1202,71797,34109,0,0,8816,671,150,3814,303,15070,1751,1289,0
131,T_1204,47115,19666,0,0,3395,673,62,3054,107,9406,865,848,0
132,T_1214,35250,13826,0,0,2315,152,52,4336,70,4389,822,825,0
133,T_1216,153071,71035,0,0,15228,1769,324,7473,561,34229,3529,3211,0
134,T_1219,87833,44296,0,0,16961,1297,255,2112,545,15836,3555,1560,0
135,T_1263,93348,49990,0,0,19925,1437,209,1456,362,16632,4177,4309,0
136,T_1402,73461,31385,0,0,7545,1060,208,5406,0,9978,2706,2706,0
137,T_1404,38140,16461,0,0,3804,198,113,3976,0,5338,1204,925,0
138,T_1413,59032,23407,0,0,5781,370,398,5005,0,7291,1490,1481,0
139,T_1419,86487,34170,0,0,6575,586,200,8942,0,10964,2276,2257,0
140,T_1420,71358,27350,0,0,6431,666,164,5471,0,9100,2235,1628,0
141,T_1422,42590,16983,0,0,3301,512,115,3643,0,6534,956,980,0
142,T_1427,42879,17034,0,0,3668,372,112,3499,0,5722,1249,1394,0
143,T_1428,67261,30680,0,0,7958,669,159,5171,0,10839,2433,2034,0
144,T_1437,32581,12729,0,0,2293,138,64,2652,0,4150,652,2001,0
145,T_1438,60335,29462,0,0,11086,523,189,3178,0,8909,2640,1460,0
146,T_1462,100638,52770,0,0,20181,1646,379,4823,0,14482,5334,3932,0
147,T_1401,26880,11655,0,0,2093,120,46,2380,51,5112,612,492,0
148,T_1406,79407,36267,0,0,7785,495,169,9333,414,11565,2680,2042,0
149,T_1407,51953,23440,0,0,5799,385,146,2368,161,10128,1909,1495,0
150,T_1409,30418,11226,0,0,1812,86,48,2277,66,3237,905,2077,0
151,T_1423,35858,17074,0,0,2265,190,81,5242,119,6613,830,685,0
152,T_1425,117413,51554,0,0,10145,911,395,6694,680,22372,3987,3100,0
153,T_1430,32591,13342,0,0,3309,185,92,1453,101,5699,921,747,0
154,T_1436,29998,11997,0,0,2046,123,54,2828,76,4353,963,819,0
155,T_1463,176586,95184,0,0,32095,2080,484,3913,1258,34719,9249,8371,0
156,T_1403,85244,41041,0,496,6888,704,194,5147,188,18249,2212,4754,0
157,T_1410,26660,11670,0,200,1735,191,74,3035,50,4441,704,701,0
158,T_1411,37737,15772,0,195,2526,220,84,3276,33,6010,855,1563,0
159,T_1412,115044,59465,0,1098,20029,1131,248,6270,174,20559,4549,2715,0
160,T_1415,68132,26781,0,352,4314,483,128,6165,61,10958,1367,1070,0
161,T_1416,60512,26691,0,233,5580,344,92,4576,51,11849,1404,1358,0
162,T_1424,40937,18787,0,178,2979,231,61,5387,39,6560,1274,871,0
163,T_1426,64314,29333,0,401,3288,957,280,6911,143,12174,1496,2011,0
164,T_1429,46668,23473,0,284,3199,584,112,6352,67,8926,1459,1371,0
165,T_1433,55002,24885,0,302,4722,441,125,4953,119,10283,1515,1072,0
166,T_1435,57782,27262,0,402,5368,607,214,5002,136,9696,2004,2040,0
167,T_1461,42928,21944,0,425,6839,485,114,1561,42,8450,1750,1442,0
168,T_1464,61075,33789,0,983,9714,1057,191,2501,149,11771,2901,3450,0
169,T_1465,1353624,919424,0,0,441873,28893,3772,15897,0,238756,97669,73221,0
170,T_1498,16,16,0,0,3,1,0,0,0,2,7,3,0
171,T_1499,139415,104130,0,0,56723,2070,288,1858,0,38819,12913,4796,0
172,T_1405,67133,37893,0,830,15704,798,153,3048,131,10734,3261,1923,0
173,T_1408,82683,49310,0,1025,21261,1124,180,2689,195,13804,4482,2990,0
174,T_1414,62486,29761,0,474,9558,595,123,3128,80,8792,2614,2779,0
175,T_1417,95666,56464,0,1785,18966,1677,272,4815,226,19664,4286,2641,0
176,T_1418,123743,74672,0,1811,33052,1901,272,5570,259,19257,6408,3686,0
177,T_1421,121254,75774,0,2157,32924,1968,326,3551,198,22398,6530,3585,0
178,T_1432,82842,49176,0,1454,20499,1422,175,2841,200,14865,3913,2181,0
179,T_1434,168238,93192,0,2137,30159,2666,584,6422,385,36379,6988,3954,0
180,T_1601,73793,31604,0,0,12042,563,212,2602,210,8898,3199,2218,100
181,T_1602,39522,15477,0,0,6813,462,73,718,192,4069,1232,823,129
182,T_1603,79308,33176,0,0,15145,566,177,828,200,5211,2969,2904,3026
183,T_1604,55792,22210,0,0,8853,491,96,2336,95,4707,1865,1441,1085
184,T_1605,53780,18802,0,0,7795,341,62,538,97,2106,1563,962,3927
185,T_1606,34955,14976,0,0,4824,213,96,2530,44,3706,1295,1252,147
186,T_1607,117677,46913,0,0,17455,1065,245,3305,295,12496,4466,4598,321
187,T_1608,54629,20210,0,0,7201,297,143,1574,93,3303,1911,1755,2634
188,T_1609,109054,40527,0,0,16557,784,204,1648,211,5330,3288,1817,7887
189,T_1610,46922,17167,0,0,6900,298,131,891,74,3885,1459,953,1574
190,T_1611,64544,23516,0,0,9210,517,107,540,90,3045,1616,1125,5505
191,T_1661,97615,54386,0,0,27846,1524,180,1306,366,8983,6056,4875,1679
192,T_1801,18051,6962,30,89,2676,82,18,469,12,2141,593,459,0
193,T_1802,52509,21707,43,278,3679,274,88,2532,171,11465,1066,855,0
194,T_1804,97273,44959,238,431,8708,603,142,5307,151,21407,2740,2711,0
195,T_1805,93067,42941,57,572,8014,497,112,5874,84,20462,2534,2371,0
196,T_1807,89103,38160,84,650,8128,705,145,3923,91,17950,2883,1778,0
197,T_1809,46692,19563,170,181,3141,187,75,4893,99,7134,1226,1460,0
198,T_1813,58334,24169,87,242,6449,389,94,2643,211,9423,1432,1594,0
199,T_1814,63339,28045,89,319,5097,426,66,4830,226,12715,1445,1214,0
200,T_1817,77335,31973,77,433,8891,475,117,4293,64,11425,2209,2523,0
201,T_1821,23062,9957,22,135,3134,158,22,1147,19,3403,799,472,0
202,T_1861,38607,19357,49,453,6907,308,56,915,41,7007,1950,1233,0
203,T_1862,52922,26308,35,419,10579,383,83,876,297,8788,2167,1737,0
204,T_1803,106867,51420,98,926,10295,799,200,7318,212,23888,2851,1931,0
205,T_1806,49346,22726,29,388,2402,223,45,2225,463,14092,918,695,0
206,T_1808,55290,26285,26,440,7087,410,69,1834,49,13586,1023,610,0
207,T_1810,62440,31321,74,462,5704,681,86,3058,202,17372,1497,942,0
208,T_1811,107692,51539,99,684,12431,652,180,6516,322,21787,3406,2978,0
209,T_1812,54066,22324,62,370,3623,245,77,2479,73,10774,1481,1884,0
210,T_1815,57084,27699,35,326,2887,717,68,5734,64,14605,1014,915,0
211,T_1816,127249,63686,161,987,11077,1136,239,6124,207,34393,3405,2875,0
212,T_1818,87621,39531,39,971,10201,586,114,2647,119,16547,3125,3322,0
213,T_1819,49585,21627,56,330,3922,334,64,3166,94,10483,1308,806,0
214,T_1820,43928,18910,29,231,6577,233,60,1433,113,7283,1183,687,0
215,T_1863,140255,82310,122,2104,27313,2114,274,4072,319,29182,7897,6805,0
216,T_1864,39680,19390,18,336,8352,263,65,1226,48,5637,1610,1199,0
217,T_2001,47734,19949,127,232,5623,425,91,3386,39,6406,1739,852,0
218,T_2002,114066,54192,127,923,15799,1119,215,3746,173,21659,3739,4325,0
219,T_2003,48677,22735,37,164,4122,348,52,2407,48,8762,1755,4129,0
220,T_2004,39376,15585,43,154,2871,322,90,4028,29,5671,869,481,0
221,T_2005,40264,17913,40,162,5211,312,47,832,35,1972,2501,5911,0
222,T_2006,31659,12237,51,76,1621,302,38,3644,14,4754,563,351,0
223,T_2007,41120,16526,69,134,2263,439,55,2817,59,8476,741,459,0
224,T_2008,34775,12805,47,140,2537,254,47,2984,37,4785,692,483,0
225,T_2009,17202,6387,49,58,1924,113,27,1373,17,1488,612,377,0
226,T_2010,39507,16434,72,138,3522,305,65,2277,21,5746,1203,2290,0
227,T_2011,58765,23880,43,275,4502,477,81,6281,35,8210,1337,1501,0
228,T_2012,28723,11068,90,128,2324,440,110,2294,27,3409,1041,528,0
229,T_2013,48050,23252,99,203,3486,841,90,2785,75,13140,835,656,0
230,T_2014,36891,15980,75,181,3252,432,54,2720,29,6899,896,668,0
231,T_2061,228579,129715,139,3085,50704,2439,377,3556,489,40339,11140,14324,0
232,T_2062,49431,23676,42,386,7781,456,96,1349,73,9477,1921,1337,0
233,T_2063,54037,24665,55,381,9682,592,134,859,79,7379,2813,1931,0
234,T_2204,74071,37664,106,0,19592,703,170,2102,0,7926,3211,1780,0
235,T_2207,64523,26371,73,0,11168,433,128,1059,0,5755,2137,3875,0
