,teryt_code,eligible_voters,issued_ballots,UPR,PSL,SAMOOBRONA,PPP,LIBERTAS,SLDUP,ZIELONI,PRAWICA,PO,PIS,PPS,PIAST
298,T_2609,67003,12764,74,2068,298,61,66,2378,153,143,2316,4916,0,0
299,T_2610,67102,19101,163,914,207,173,167,3466,542,166,5656,6945,0,0
300,T_2611,77945,16035,143,1278,239,173,139,2696,306,161,4476,6015,0,0
301,T_2612,60350,10349,54,2185,266,65,216,1235,171,79,1957,3889,0,0
302,T_2613,38098,6814,63,961,251,63,58,1018,90,48,1086,3005,0,0
303,T_2661,166657,55084,433,3351,239,589,319,11376,1526,794,17905,17743,0,0
304,T_2801,51188,7486,63,652,366,81,86,1331,73,91,3091,1442,26,0
305,T_2802,35271,5458,48,969,154,47,51,889,100,108,1950,1003,29,0
306,T_2803,52332,8203,76,1463,305,81,200,1037,75,71,2820,1802,32,0
307,T_2804,45018,5975,58,666,226,67,81,834,75,81,2380,1332,27,0
308,T_2805,67512,12509,92,694,176,91,196,1555,163,347,5403,3470,94,0
309,T_2806,46363,8546,153,762,186,107,68,1335,113,122,3966,1525,23,0
310,T_2807,73125,12344,104,1343,413,404,127,1683,101,134,5238,2429,57,0
311,T_2808,54918,8785,80,597,253,90,63,1574,82,97,4029,1710,34,0
312,T_2809,34611,5594,63,443,219,58,40,768,58,47,2604,1151,11,0
313,T_2810,40725,7482,101,686,139,69,73,1137,72,74,3312,1628,16,0
314,T_2811,27011,4339,33,348,102,61,115,776,38,61,1521,1163,22,0
315,T_2812,34016,5788,50,1220,656,89,80,492,51,77,1648,1204,16,0
316,T_2813,27426,4591,32,1057,116,42,58,527,45,81,1498,1041,6,0
317,T_2814,92629,16347,235,1454,288,153,159,2864,197,218,7478,2841,63,0
318,T_2815,84001,15070,174,1340,290,155,100,2560,172,164,6873,2724,68,0
319,T_2816,45962,7844,61,1039,142,78,77,969,397,114,2614,2161,23,0
320,T_2817,55949,9595,91,1472,179,92,100,1749,96,84,3359,2065,58,0
321,T_2818,22121,3182,29,302,68,32,35,581,29,53,1338,640,9,0
322,T_2819,19683,2900,29,294,83,33,51,687,23,45,1138,451,4,0
323,T_2861,99483,25508,395,679,187,152,195,4297,222,344,12490,5957,153,0
324,T_2862,136065,39792,585,2035,186,220,303,8605,516,425,18230,8049,190,0
325,T_3001,37352,8443,58,1796,142,71,45,1377,221,112,3128,1199,0,0
326,T_3002,68614,13633,146,870,409,134,168,1859,452,434,5907,2780,0,0
327,T_3003,113145,25510,255,1721,557,277,288,4777,647,953,9900,5416,0,0
